Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instructions,Description,Fat,No_serving
red rice upma - konkani style,175,7,23,Salty,"Red Rice, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse red rice, sauté cumin in olive oil, add carrot, cook until soft, and serve warm.","Red rice is high in fiber, stabilizes blood sugar.",8,1
black bean roti,150,6,19,Salty,"Black Bean, Olive Oil, Cumin, Carrot",Total in 35 M,"Soak black beans, sauté cumin in olive oil, add carrot, cook until beans are soft, and serve warm.","Black beans are high fiber, low GI, help regulate glucose.",6,1
cauliflower and chickpea curry,155,6,18,"Salty, Spicy","Cauliflower, Chickpea, Olive Oil, Cumin, Ginger",Total in 35 M,"Chop cauliflower, boil chickpeas, sauté cumin and ginger in olive oil, add vegetables, cook until tender.",High fiber vegetables and chickpeas help control blood sugar.,5,1
jowar stuffed pepper,175,7,24,Salty,"Jowar, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse jowar, sauté cumin in olive oil, add carrot, cook until soft, and serve warm.","Jowar is low GI, fiber-rich, stabilizes glucose levels.",4,1
drumstick leaves brown rice bowl,170,8,20,"Salty, Bitter","Drumstick Leaves, Brown Rice, Olive Oil, Cumin, Ginger",Total in 35 M,"Cook brown rice, chop drumstick leaves, sauté cumin and ginger in olive oil, mix with rice, and serve warm.","Drumstick leaves are low GI, support blood sugar management.",3,1
red rice chilla,160,9,19,Salty,"Red Rice, Olive Oil, Cumin, Carrot",Total in 25 M,"Rinse red rice, sauté cumin in olive oil, add carrot, cook until soft, and serve warm.","Red rice is fiber-rich, helps stabilize glucose.",5,1
jowar idli - punjabi style,145,8,16,Salty,"Jowar, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse jowar, sauté cumin in olive oil, add carrot, cook until tender, and serve hot.","Jowar is low GI and high fiber, ideal for diabetics.",6,1
amaranth idli,170,7,22,"Salty, Spicy","Amaranth, Olive Oil, Cumin, Carrot, Ginger",Total in 30 M,"Rinse Amaranth, sauté Cumin and Ginger in Olive Oil, add Carrot, cook until soft, serve warm.","Amaranth is low GI, protein-rich, stabilizes blood sugar.",7,2
dalia dosa - gujarati style,160,6,21,Salty,"Dalia, Olive Oil, Cumin, Carrot",Total in 30 M,"Cook Dalia, sauté Cumin in Olive Oil, add Carrot, cook until tender, serve warm.","Dalia is high fiber and low GI, ideal for blood sugar control.",6,2
jowar stir-fry,165,6,22,Salty,"Jowar, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Jowar, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Jowar is low GI, helps maintain stable glucose.",5,2
buckwheat pulao - rajasthani style,170,6,23,Salty,"Buckwheat, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Buckwheat, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Buckwheat is fiber-rich, low GI, supports blood sugar management.",4,2
ragi upma - south indian,170,8,21,Salty,"Ragi, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Ragi, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Ragi is high fiber, low GI, ideal for diabetics.",3,2
pearl millet pongal - rajasthani style,165,6,22,Salty,"Pearl Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Pearl Millet, sauté Cumin in Olive Oil, add Carrot, cook until tender, serve warm.","Pearl millet is low GI, fiber-rich, helps control glucose.",2,2
rajgira pops,155,6,18,Salty,"Rajgira, Olive Oil, Cumin, Carrot",Total in 25 M,"Prepare Rajgira batter, sauté Cumin in Olive Oil, cook on non-stick pan, flip carefully, serve hot.","Rajgira is protein-rich and low GI, good for diabetics.",4,2
barley idli - hyderabadi style,160,6,20,Salty,"Barley, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Barley, sauté Cumin in Olive Oil, add Carrot, cook until tender, serve warm.","Barley is high fiber, stabilizes blood sugar.",5,1
sorghum khichdi - bengali style,130,4,14,Salty,"Sorghum, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Sorghum, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Sorghum is low GI, fiber-rich, ideal for diabetics.",6,1
dalia pongal - maharashtrian style,160,6,19,Salty,"Dalia, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Dalia, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Dalia is high fiber, low GI, supports blood sugar control.",7,1
sorghum upma - gujarati style,165,6,20,"Salty, Spicy","Sorghum, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Rinse Sorghum, sauté Cumin and Ginger in Olive Oil, add Carrot, cook until tender, serve hot.","Sorghum is low GI and fiber-rich, ideal for diabetics.",6,1
fenugreek leaves cheela,145,5,16,Salty,"Fenugreek Leaves, Olive Oil, Cumin, Carrot",Total in 25 M,"Chop Fenugreek Leaves, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.",Fenugreek leaves help regulate blood sugar due to fiber content.,5,1
brown rice upma - hyderabadi style,155,6,18,Salty,"Brown Rice, Olive Oil, Cumin, Carrot",Total in 30 M,"Cook Brown Rice, sauté Cumin in Olive Oil, add Carrot, mix and cook 5 min, serve warm.","Brown rice is low GI, fiber-rich, stabilizes glucose.",4,1
moringa leaves and black gram curry,160,6,19,"Salty, Bitter","Moringa Leaves, Black Gram, Olive Oil, Cumin, Ginger",Total in 35 M,"Soak Black Gram, chop Moringa Leaves, sauté Cumin and Ginger in Olive Oil, add Black Gram and leaves, cook until tender.","High fiber and protein, ideal for diabetics.",3,1
foxtail millet pulao - chettinad style,165,6,20,Salty,"Foxtail Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Foxtail Millet, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Foxtail millet is low GI, protein-rich, suitable for diabetics.",5,2
horse gram with cabbage,150,6,19,"Salty, Spicy","Horse Gram, Olive Oil, Cabbage, Cumin, Ginger",Total in 35 M,"Soak Horse Gram, chop Cabbage, sauté Cumin and Ginger in Olive Oil, cook Horse Gram with Cabbage until tender, serve warm.","Horse Gram is high protein and fiber, helps regulate blood sugar.",6,2
black gram wrap,155,6,20,Salty,"Black Gram, Olive Oil, Cumin, Carrot",Total in 35 M,"Soak Black Gram, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Black gram is protein-rich, low GI, ideal for diabetics.",4,2
pearl millet pongal - chettinad style,170,7,22,Salty,"Pearl Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Pearl Millet, sauté Cumin in Olive Oil, add Carrot, cook until tender, serve warm.","Pearl millet is fiber-rich, low GI, helps control glucose.",5,2
foxtail millet cutlet,155,6,20,Salty,"Foxtail Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Foxtail Millet, sauté Cumin in Olive Oil, add Carrot, shape into cutlets and cook, serve warm.","Foxtail millet is protein and fiber-rich, good for diabetes.",4,1
foxtail millet pancake,160,6,19,Salty,"Foxtail Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Foxtail Millet, sauté Cumin in Olive Oil, add Carrot, cook as pancake, serve hot.","Foxtail millet is low GI, fiber-rich, suitable for diabetics.",3,1
foxtail millet upma - assamese style,140,5,15,"Salty, Spicy","Foxtail Millet, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Rinse Foxtail Millet, sauté Cumin and Ginger in Olive Oil, add Carrot, cook until soft, serve warm.","Foxtail millet is protein-rich, low GI, ideal for diabetics.",5,1
brown rice pulao - maharashtrian style,150,5,18,Salty,"Brown Rice, Olive Oil, Cumin, Carrot",Total in 30 M,"Cook Brown Rice, sauté Cumin in Olive Oil, add Carrot, mix and cook 5 min, serve warm.","Brown rice is fiber-rich, helps stabilize blood sugar.",6,1
urad dal with bitter gourd,175,7,23,"Salty, Bitter","Urad Dal, Bitter Gourd, Olive Oil, Cumin, Ginger",Total in 35 M,"Soak Urad Dal, chop Bitter Gourd, sauté Cumin and Ginger in Olive Oil, add Urad Dal and Bitter Gourd, cook until soft.",Combination of urad dal and bitter gourd helps regulate glucose levels.,7,1
jowar pulao - gujarati style,165,6,21,Salty,"Jowar, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Jowar, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Jowar is low GI, fiber-rich, ideal for diabetics.",5,1
horse gram cutlet,170,7,22,"Salty, Spicy","Horse Gram, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Soak Horse Gram, sauté Cumin and Ginger in Olive Oil, add Carrot, cook until soft, serve warm.","Horse Gram is high protein, fiber-rich, supports blood sugar control.",4,1
ivy gourd and masoor dal curry,160,8,18,"Salty, Spicy","Ivy Gourd, Masoor Dal, Olive Oil, Cumin, Ginger",Total in 35 M,"Soak Masoor Dal, chop Ivy Gourd, sauté Cumin and Ginger in Olive Oil, add Dal and Ivy Gourd, cook until tender.","Masoor Dal and ivy gourd provide protein and fiber, supporting blood sugar control.",5,1
pearl millet idli - assamese style,155,6,20,Salty,"Pearl Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Pearl Millet, sauté Cumin in Olive Oil, add Carrot, steam Millet with Carrot, serve warm.","Pearl Millet is low GI and fiber-rich, ideal for diabetics.",6,1
sattu idli - bengali style,150,8,17,Salty,"Sattu, Olive Oil, Cumin, Carrot",Total in 30 M,"Mix Sattu with water, sauté Cumin in Olive Oil, add Carrot, combine Sattu mix and cook, serve warm.",Sattu is protein-rich and helps regulate glucose.,5,1
spinach and horse gram curry,165,6,21,"Salty, Bitter","Spinach, Horse Gram, Olive Oil, Ginger, Cumin",Total in 35 M,"Soak Horse Gram, chop Spinach, sauté Cumin and Ginger in Olive Oil, add Horse Gram and Spinach, cook until tender.","Spinach and Horse Gram are high fiber and protein, stabilizing blood sugar.",4,1
cauliflower millet bowl,170,8,20,Salty,"Cauliflower, Millet, Olive Oil, Cumin",Total in 30 M,"Chop Cauliflower, rinse Millet, sauté Cumin in Olive Oil, cook Cauliflower with Millet, serve warm.",Cauliflower with Millet provides fiber and low GI carbs for diabetes management.,3,2
Peas sabzi,175,6,23,"Salty, Spicy","Peas, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Soak Peas, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Peas with Carrot, serve warm.","Peas are high protein, low GI, ideal for blood sugar control.",5,2
jowar khichdi,165,6,21,Salty,"Jowar, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Jowar, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Jowar is fiber-rich and low GI, supporting diabetic health.",4,2
spinach and toor dal curry,170,9,20,"Salty, Bitter","Spinach, Toor Dal, Olive Oil, Cumin, Ginger",Total in 35 M,"Soak Toor Dal, chop Spinach, sauté Cumin and Ginger in Olive Oil, add Spinach and Toor Dal, cook until tender.","Spinach with Toor Dal provides protein and fiber, helps regulate blood sugar.",5,1
kodo millet pakora,160,6,19,Salty,"Kodo Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Kodo Millet, sauté Cumin in Olive Oil, add Carrot, shape into Pakora and cook, serve warm.","Kodo Millet is high fiber, low GI, suitable for diabetics.",6,1
little millet stir-fry,130,4,12,Salty,"Millet, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Millet, sauté Cumin in Olive Oil, add Carrot, stir-fry ingredients until soft, serve warm.",Millet provides slow-digesting carbs for blood sugar stability.,5,1
dalia dosa - konkani style,150,8,17,Salty,"Dalia, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Dalia, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Dalia is fiber-rich, low GI, helps regulate glucose.",4,1
foxtail millet idli - bengali style,165,9,20,Salty,"Foxtail Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Foxtail Millet, sauté Cumin in Olive Oil, steam with Carrot, cook until tender, serve warm.","Foxtail Millet is protein-rich, low GI, ideal for diabetics.",3,1
sattu kebab,140,6,16,"Salty, Spicy","Sattu, Olive Oil, Cumin, Carrot, Ginger",Total in 30 M,"Mix Sattu with water, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Sattu mixture, serve warm.","Sattu provides fiber and protein, supports blood sugar stability.",5,1
brown rice salad bowl,150,5,19,Salty,"Brown Rice, Olive Oil, Cumin, Carrot, Lettuce",Total in 35 M,"Cook Brown Rice, sauté Cumin in Olive Oil, add Carrot and Lettuce, mix and cook 5 min, serve warm.","Brown rice is low GI, high fiber, stabilizes glucose.",4,1
dalia sandwich,170,6,22,Salty,"Dalia, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Dalia, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Dalia provides slow-digesting carbs, good for diabetics.",5,1
quinoa pops,175,6,23,"Salty, Spicy","Quinoa, Olive Oil, Cumin, Carrot, Ginger",Total in 30 M,"Rinse Quinoa, sauté Cumin and Ginger in Olive Oil, add Carrot, cook until soft, serve warm.","Quinoa is protein-rich, low GI, ideal for blood sugar management.",6,1
bajra pongal - punjabi style,175,7,22,Salty,"Bajra, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Bajra, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Bajra is low GI, high fiber, helps regulate glucose.",5,1
bajra idli - gujarati style,140,5,17,Salty,"Bajra, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Bajra, sauté Cumin in Olive Oil, add Carrot, steam with Cumin and Carrot, serve warm.",Bajra is fiber-rich and suitable for diabetics.,4,1
kodo millet pongal - assamese style,150,6,19,Salty,"Kodo Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Kodo Millet, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Kodo Millet is high fiber, low GI, supports blood sugar control.",5,1
jowar dosa - gujarati style,160,8,18,Salty,"Jowar, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Jowar, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Jowar is low GI, fiber-rich, suitable for diabetics.",6,1
sorghum stir-fry,170,6,22,"Salty, Spicy","Sorghum, Olive Oil, Cumin, Carrot, Ginger",Total in 30 M,"Rinse Sorghum, sauté Cumin and Ginger in Olive Oil, add Carrot, stir-fry Sorghum with Carrot, serve warm.","Sorghum is high fiber, low GI, supporting glucose stability.",4,1
spinach dhokla,175,7,23,Salty,"Spinach, Olive Oil, Cumin, Ginger",Total in 30 M,"Chop Spinach, sauté Cumin and Ginger in Olive Oil, add Spinach, steam until tender, serve warm.","Spinach provides fiber and antioxidants, beneficial for diabetics.",5,1
pearl millet dosa - south indian,160,8,18,Salty,"Pearl Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Pearl Millet, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.",Pearl Millet is low GI and helps regulate blood sugar.,6,1
toor dal with snake gourd,170,6,22,"Salty, Spicy","Toor Dal, Snake Gourd, Olive Oil, Ginger, Cumin",Total in 35 M,"Soak Toor Dal, chop Snake Gourd, sauté Cumin and Ginger in Olive Oil, add Dal and Snake Gourd, cook until tender.",Toor Dal and Snake Gourd provide protein and fiber for blood sugar management.,3,1
black rice dosa - mangalorean,155,7,16,Salty,"Black Rice, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Black Rice, sauté Cumin in Olive Oil, add Carrot, steam rice with Carrot, serve warm.","Black Rice is fiber-rich and low GI, supporting diabetic health.",4,1
Peas sabzi,165,8,19,"Salty, Bitter","Peas, Olive Oil, Cumin, Ginger",Total in 30 M,"Shell Peas, sauté Cumin and Ginger in Olive Oil, add Peas, cook until soft, serve warm.","Peas are high in protein and fiber, helping regulate blood sugar.",5,1
black rice pulao - chettinad style,130,4,14,Salty,"Black Rice, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Black Rice, sauté Cumin in Olive Oil, add Carrot, cook rice until tender, serve warm.","Black Rice is low GI and fiber-rich, ideal for diabetics.",4,1
chana dal kofta,160,6,19,"Salty, Spicy","Chana Dal, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Soak Chana Dal, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Dal with Carrot, serve warm.",Chana Dal provides protein and fiber for blood sugar control.,5,1
sorghum kofta,150,5,18,"Salty, Bitter","Sorghum, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Rinse Sorghum, sauté Cumin and Ginger in Olive Oil, add Carrot, cook until tender, serve warm.","Sorghum is high in fiber and low GI, stabilizing blood sugar.",3,1
black rice khichdi - assamese style,160,7,20,Salty,"Black Rice, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Black Rice, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.",Black Rice provides slow-digesting carbs for diabetics.,6,1
masoor dal with mushroom,175,6,22,Salty,"Masoor Dal, Mushroom, Olive Oil, Cumin",Total in 30 M,"Soak Masoor Dal, chop Mushroom, sauté Cumin in Olive Oil, add Masoor Dal and Mushroom, cook until tender.","Masoor Dal and Mushroom are protein-rich, aiding glucose control.",5,1
oats pongal - keralite style,145,6,15,Salty,"Oats, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Oats, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Oats are fiber-rich, low GI, supporting stable blood sugar.",6,1
buckwheat pancake,160,7,19,"Salty, Spicy","Buckwheat, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Rinse Buckwheat, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Buckwheat with Carrot, serve warm.",Buckwheat helps regulate glucose due to its fiber content.,5,1
jowar grill,155,6,19,Salty,"Jowar, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Jowar, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Jowar is low GI and high in fiber, ideal for diabetics.",3,1
red rice pancake,165,6,22,"Salty, Sour","Red Rice, Olive Oil, Cumin, Carrot, Lemon",Total in 35 M,"Rinse Red Rice, sauté Cumin in Olive Oil, add Carrot, cook rice until tender, squeeze Lemon and serve.",Red Rice stabilizes glucose and provides essential nutrients.,4,1
dalia upma - keralite style,135,5,14,Salty,"Dalia, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Dalia, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Dalia is fiber-rich and low GI, supporting blood sugar control.",5,1
ivy gourd khichdi,130,4,13,"Salty, Spicy","Ivy Gourd, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Chop Ivy Gourd, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Ivy Gourd until tender, serve warm.",Ivy Gourd provides fiber and helps regulate glucose.,4,1
oats kofta,155,6,20,"Salty, Spicy","Oats, Olive Oil, Cumin, Carrot, Ginger",Total in 30 M,"Rinse Oats, sauté Cumin and Ginger in Olive Oil, add Carrot, cook until soft, serve warm.","Oats are slow-digesting carbs, ideal for diabetics.",5,1–2
pearl millet upma - rajasthani style,145,7,17,Salty,"Pearl Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Pearl Millet, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Pearl Millet is high fiber, low GI, helping stabilize blood sugar.",3,1–2
ridge gourd sabzi,150,6,16,"Salty, Spicy","Ridge Gourd, Olive Oil, Cumin, Ginger",Total in 30 M,"Chop Ridge Gourd, sauté Cumin and Ginger in Olive Oil, cook Ridge Gourd until tender, season with salt, serve warm.","Ridge Gourd is low calorie, high fiber, suitable for diabetes.",4,1
sattu balls,160,6,19,Salty,"Sattu, Olive Oil, Cumin, Carrot",Total in 30 M,"Mix Sattu with water, sauté Cumin in Olive Oil, add Carrot, cook mixture until soft, serve warm.",Sattu is protein-rich and helps control blood sugar.,5,1
chana dal with ivy gourd,170,6,22,"Salty, Spicy","Chana Dal, Ivy Gourd, Olive Oil, Ginger, Cumin",Total in 35 M,"Soak Chana Dal, chop Ivy Gourd, sauté Cumin and Ginger in Olive Oil, cook Dal and Ivy Gourd, serve warm.","Chana Dal and Ivy Gourd provide fiber and protein, supporting glucose stability.",6,1
cabbage barley bowl,130,4,14,Salty,"Cabbage, Barley, Olive Oil, Cumin",Total in 35 M,"Chop Cabbage, rinse Barley, sauté Cumin in Olive Oil, cook Barley with Cabbage, serve warm.","Cabbage and Barley are fiber-rich, low GI, stabilizing blood sugar.",4,1
millet dosa,175,7,23,"Salty, Spicy","Millet, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Rinse Millet, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Millet until soft, serve warm.","Millet is high fiber and low GI, ideal for diabetics.",5,1
brinjal idli,165,8,21,"Salty, Bitter","Brinjal, Olive Oil, Cumin, Ginger",Total in 30 M,"Chop Brinjal, sauté Cumin and Ginger in Olive Oil, add Brinjal, cook until soft, serve warm.","Brinjal provides fiber and antioxidants, supporting blood sugar control.",4,1
bajra pulao - konkani style,150,8,18,"Salty, Spicy","Bajra, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Rinse Bajra, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Bajra with Carrot, serve warm.","Bajra is high fiber and low GI, supporting blood sugar regulation.",5,1
Wheat no-oil pancake,145,7,16,Salty,"Wheat, Olive Oil, Cumin, Carrot",Total in 25 M,"Mix Wheat with water, sauté Cumin in Olive Oil, add Carrot, cook batter on skillet until golden, serve warm.","Wheat is complex carbohydrate, providing steady glucose release.",3,1
bottle gourd stuffed pepper,160,8,19,"Salty, Spicy","Bottle Gourd, Olive Oil, Cumin, Ginger",Total in 30 M,"Chop Bottle Gourd, sauté Cumin and Ginger in Olive Oil, stuff gourd with prepared mixture, cook until soft, serve warm.","Bottle Gourd is low calorie, high fiber, supporting blood sugar management.",4,1
cauliflower oats bowl,150,6,18,Salty,"Cauliflower, Oats, Olive Oil, Cumin",Total in 35 M,"Chop Cauliflower, rinse Oats, sauté Cumin in Olive Oil, add Cauliflower and Oats, cook until tender.","Cauliflower and Oats are low GI, fiber-rich, beneficial for diabetics.",3,1
ridge gourd foxtail millet bowl,170,7,22,Salty,"Ridge Gourd, Foxtail Millet, Olive Oil, Cumin",Total in 35 M,"Chop Ridge Gourd, rinse Foxtail Millet, sauté Cumin in Olive Oil, add Ridge Gourd and Millet, cook until soft.","Ridge Gourd and Foxtail Millet are high fiber, low GI, supporting glucose stability.",5,1
spinach baked bites,160,6,19,"Salty, Bitter","Spinach, Olive Oil, Cumin, Garlic",Total in 30 M,"Chop Spinach, sauté Cumin and Garlic in Olive Oil, add Spinach, cook until tender, serve warm.","Spinach is rich in fiber and antioxidants, beneficial for diabetics.",4,1
foxtail millet idli - goan style,165,7,21,Salty,"Foxtail Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Foxtail Millet, sauté Cumin in Olive Oil, add Carrot, cook Millet with Carrot, serve warm.","Foxtail Millet is low GI and high fiber, stabilizing blood sugar.",5,1
black gram pulao,165,6,21,"Salty, Spicy","Black Gram, Olive Oil, Cumin, Carrot, Ginger",Total in 35 M,"Soak Black Gram, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Black Gram with Carrot, serve warm.","Black Gram provides protein and fiber, supporting glucose regulation.",4,1
spinach roti,160,6,18,Salty,"Spinach, Olive Oil, Cumin, Garlic",Total in 30 M,"Chop Spinach, sauté Cumin and Garlic in Olive Oil, add Spinach, cook until tender, serve warm.","Spinach is fiber-rich and low GI, helping maintain blood sugar.",3,1
rajgira upma - punjabi style,150,5,19,"Salty, Sour","Rajgira, Olive Oil, Cumin, Carrot, Lemon",Total in 30 M,"Rinse Rajgira, sauté Cumin in Olive Oil, add Carrot, cook Rajgira until soft, squeeze Lemon and serve.",Rajgira stabilizes glucose and provides essential nutrients.,5,1
little millet muthia,140,5,15,Salty,"Millet, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Millet, sauté Cumin in Olive Oil, add Carrot, cook until tender, serve warm.","Millet is high fiber and low GI, ideal for diabetics.",6,1
cauliflower red rice bowl,135,5,14,Salty,"Cauliflower, Red Rice, Olive Oil, Cumin",Total in 35 M,"Chop Cauliflower, rinse Red Rice, sauté Cumin in Olive Oil, add Cauliflower and Red Rice, cook until tender.","Red Rice and Cauliflower are low GI and fiber-rich, supporting glucose control.",4,1
red rice pulao - punjabi style,145,6,16,Salty,"Red Rice, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Red Rice, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.",Red Rice helps maintain stable blood sugar levels.,5,1
spinach grill,160,6,20,"Salty, Bitter","Spinach, Olive Oil, Cumin, Garlic",Total in 30 M,"Chop Spinach, sauté Cumin and Garlic in Olive Oil, add Spinach, cook until tender, serve warm.",Spinach provides antioxidants and fiber for diabetic health.,4,1
brown rice pongal - mangalorean,155,6,19,Salty,"Brown Rice, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Brown Rice, sauté Cumin in Olive Oil, add Carrot, cook Rice until soft, serve warm.",Brown Rice is low GI and helps maintain glucose balance.,3,1
oats pulao - konkani style,160,7,20,Salty,"Oats, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Oats, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Oats are high fiber and slow-digesting, ideal for diabetes.",5,1
bitter gourd balls,145,6,17,"Bitter, Salty","Bitter Gourd, Olive Oil, Cumin, Ginger",Total in 30 M,"Slice Bitter Gourd, sauté Cumin and Ginger in Olive Oil, add Bitter Gourd, cook until soft, serve warm.",Bitter Gourd lowers blood sugar and adds fiber for diabetics.,4,1
amaranth pongal - goan style,160,6,19,Salty,"Amaranth, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Amaranth, sauté Cumin in Olive Oil, add Carrot, cook Amaranth until soft, serve warm.","Amaranth is high protein, low GI, beneficial for glucose regulation.",5,1
bajra dosa - hyderabadi style,165,6,22,"Salty, Spicy","Bajra, Olive Oil, Cumin, Ginger, Carrot",Total in 35 M,"Rinse Bajra, sauté Cumin and Ginger in Olive Oil, add Carrot, cook Bajra until tender, serve warm.",Bajra provides fiber and slow-digesting carbs for diabetics.,4,1
bajra idli - south indian,150,6,18,Salty,"Bajra, Olive Oil, Cumin, Carrot",Total in 35 M,"Rinse Bajra, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Bajra is low GI and fiber-rich, supporting glucose stability.",3,1
Kidney Beans bowl,155,6,20,"Salty, Spicy","Kidney Beans, Olive Oil, Cumin, Ginger",Total in 35 M,"Soak Kidney Beans, sauté Cumin and Ginger in Olive Oil, add Kidney Beans and cook until tender, season with salt, serve warm.","Kidney Beans is high in fiber and protein, promoting stable blood sugar.",5,1
pearl millet pancake,150,5,18,Salty,"Pearl Millet, Olive Oil, Cumin, Carrot",Total in 30 M,"Rinse Pearl Millet, sauté Cumin in Olive Oil, add Carrot, cook until soft, serve warm.","Pearl Millet is low GI and high fiber, ideal for diabetics.",4,1
Peas pancake,160,7,20,Salty,"Peas, Olive Oil, Cumin, Carrot",Total in 30 M,"Soak Peas, sauté Cumin in Olive Oil, add Carrot, cook peas until soft, serve warm.","Peas provide protein and fiber, supporting glucose control.",5,1
bitter gourd dalia bowl,170,6,23,"Bitter, Salty","Bitter Gourd, Dalia, Olive Oil, Cumin",Total in 35 M,"Slice Bitter Gourd, rinse Dalia, sauté Cumin in Olive Oil, add Bitter Gourd and Dalia, cook until soft.","Bitter Gourd lowers blood sugar, Dalia provides fiber for diabetics.",6,1
spinach bowl,140,5,16,Salty,"Spinach, Olive Oil, Cumin, Garlic",Total in 25 M,"Chop Spinach, sauté Cumin and Garlic in Olive Oil, add Spinach, cook until tender, serve warm.","Spinach is high in fiber and antioxidants, aiding glucose stability.",4,1
