Recipe Name,Ingredients,Preparation Time,Calories,Protein (g),Fat (g),Carbohydrates (g),Taste,Health Tags,Description,Instructions
Mixed Bean Salad,"Kidney Beans, Chickpeas, Green Gram, Onions, Tomatoes, Coriander Leaves, Lemon (From List), Salt, Olive Oil",15 min,200,12,6,30,"Tangy, Savory",Diabetes; Heart Disease; Protein Deficiency,Protein-rich mixed bean salad supporting heart and blood sugar health.,"1. Boil beans. 2. Chop onions, tomatoes, coriander. 3. Mix all with salt, olive oil, lemon juice; serve fresh."
Sweet Corn Rava Upma,"Rava, Sweet Corn, Mustard Seeds, Green Chili, Curry Leaves, Salt, Ghee",25 min,220,5,9,35,Savory,Digestive Problems; Weight Management; Diabetes,Nutrient-dense upma rich in fiber and vitamins; supports digestion and blood sugar control.,"1. Roast rava. 2. Heat ghee, temper mustard seeds, chili, curry leaves. 3. Add sweet corn and water; bring to boil. 4. Add rava, salt; cook till done; serve hot."
Mango Chutney,"Mango, Mustard Seeds, Red Chili Powder, Sugar, Salt, Sesame Oil",30 min,150,1,5,35,"Sweet, Tangy",Vitamin Deficiency; Digestive Problems; Skin Health,Sweet and tangy mango chutney rich in vitamins; aids digestion and skin nourishment.,"1. Heat oil, temper mustard seeds. 2. Add chopped mango, sugar, salt, chili powder; cook till thick; cool and serve."
Mushroom Pepper Fry,"Mushrooms, Black Pepper, Mustard Seeds, Curry Leaves, Salt, Canola Oil",20 min,130,4,7,10,"Savory, Spicy",Anti-inflammatory; Heart Disease; Digestive Problems,Pepper-flavored mushroom fry rich in antioxidants; supports inflammation reduction and heart health.,"1. Heat oil, temper mustard seeds, curry leaves. 2. Add sliced mushrooms, black pepper, salt; saut� till cooked. Serve hot."
Oats Vegetable Dosa,"Oats Flour, Urad Dal, Mixed Vegetables (Carrot, Capsicum), Salt, Water, Ghee",30 min,200,6,8,30,"Savory, Mild",Diabetes; Weight Management; Digestive Problems,Healthy dosa rich in fiber and vitamins with mixed vegetables; supports metabolism and digestion.,"1. Soak and grind urad dal. 2. Mix oats, vegetables, dal, salt, water; ferment 8 hrs. 3. Cook dosa on pan, apply ghee both sides; serve hot."
Banana Rice,"Cooked Rice, Banana, Mustard Seeds, Green Chili, Curry Leaves, Salt, Ghee",25 min,230,5,7,42,"Sweet, Savory",Diabetes; Weight Management; Digestive Problems,Sweet and savory banana rice rich in potassium and fiber; supports digestion and blood sugar control.,"1. Heat ghee, temper mustard seeds, chili, curry leaves. 2. Add mashed banana, salt; saut� 5 min. 3. Add cooked rice; mix well; serve hot."
Avocado Chutney,"Avocado, Green Chili, Mustard Seeds, Curry Leaves, Salt, Olive Oil",15 min,120,2,10,8,"Savory, Mild",Heart Disease; Skin & Hair Problems; Weight Management,Creamy avocado chutney rich in healthy fats; supports heart and skin health.,"1. Heat oil, temper mustard seeds, curry leaves. 2. Blend avocado with chili, salt; add tempering; serve fresh."
Coriander & Coconut Chutney,"Fresh Coriander Leaves, Grated Coconut, Green Chili, Ginger, Mustard Seeds, Curry Leaves, Salt, Sunflower Oil",15 min,110,3,8,8,"Savory, Mild",Digestive Problems; Skin & Hair Problems,Fresh chutney rich in antioxidants and healthy fats; aids digestion and skin nourishment.,"1. Blend coconut, coriander, chili, ginger, salt with water. 2. Heat oil, temper mustard seeds, curry leaves; add to chutney; serve fresh."
Beetroot Halwa,"Beetroot, Milk, Sugar, Ghee, Cardamom",40 min,250,6,10,28,Sweet,Anemia; Skin Health; Vitamin Deficiency,Beetroot and milk-based sweet supporting anemia recovery and skin health.,"1. Grate beetroot. 2. Heat ghee, add beetroot; cook 10 min. 3. Add milk, sugar, cardamom; simmer till thick. Serve warm."
Chicken Curry,"Chicken Breasts, Onions, Tomatoes, Garlic, Mustard Seeds, Curry Leaves, Red Chili, Turmeric, Salt, Coconut Oil",45 min,320,28,18,6,"Spicy, Savory",Protein Deficiency; Diabetes; Heart Disease,Lean chicken curry high in protein; spices support immunity and blood sugar control.,"1. Heat oil, temper mustard seeds, curry leaves. 2. Saut� onions, garlic, tomatoes, spices. 3. Add chicken pieces; cook till done; serve hot."
Spinach Coconut Soup,"Spinach, Coconut Milk, Ginger, Garlic, Salt, Olive Oil",30 min,160,4,10,12,"Mild, Savory",Anemia; Digestive Problems; Skin & Hair Problems,"Nutrient-rich spinach with healthy fats from coconut milk supports blood health, digestion, and skin nourishment.","1. Heat oil, saut� garlic, ginger. 2. Add spinach, cook 5 min. 3. Add coconut milk, salt; simmer 10 min. Blend smooth; serve warm."
Baked Sweet Potato,"Sweet Potatoes, Olive Oil, Salt",50 min,150,2,5,30,"Sweet, Mild",Diabetes; Weight Management; Digestive Problems,Baked sweet potatoes rich in fiber and vitamins aid blood sugar control and digestion.,"1. Preheat oven 200�C. 2. Wash sweet potatoes, coat with olive oil and salt. 3. Bake 40-50 min till soft; serve warm."
Green Gram Sundal,"Green Gram, Mustard Seeds, Curry Leaves, Dried Red Chili, Salt, Sunflower Oil",25 min,150,9,5,25,"Savory, Mild",Diabetes; Heart Disease; Weight Management,High-protein sprouted green gram stir fry supporting heart health and weight management.,"1. Soak and boil green gram. 2. Heat oil, temper mustard seeds, curry leaves, chili. 3. Add green gram, salt; saut� 5 min; serve warm."
Guava Chutney,"Guava, Mustard Seeds, Green Chili, Coriander Leaves, Salt, Lemon (From List), Olive Oil",15 min,90,2,4,15,"Tangy, Mild",Vitamin Deficiency; Immune Support; Skin Health,Vitamin C-rich guava chutney boosts immunity and supports skin regeneration.,"1. Blend guava, chili, salt, lemon juice, coriander. 2. Heat oil, temper mustard seeds; add to chutney. Serve fresh."
Mushroom Masala,"Mushrooms, Tomatoes, Onions, Garlic, Mustard Seeds, Curry Leaves, Turmeric, Salt, Canola Oil",30 min,180,5,7,20,"Savory, Spicy",Anti-inflammatory; Heart Disease; Digestive Problems,Mushroom curry rich in antioxidants and fiber supporting reduced inflammation and heart health.,"1. Heat oil, temper mustard seeds, curry leaves. 2. Saut� onions, garlic. 3. Add tomatoes, turmeric, salt; cook till soft. 4. Add mushrooms; cook 10-15 min; serve hot."
Ragi Flour Porridge,"Ragi Flour, Milk, Sugar, Cardamom",20 min,180,6,5,30,"Sweet, Mild",Diabetes; Bone & Joint Problems; Vitamin Deficiency,Nutrient-dense ragi porridge rich in calcium and fiber supports bone health and blood sugar regulation.,"1. Boil milk. 2. Add ragi flour slowly, stir to avoid lumps. 3. Cook till thick. 4. Add sugar and cardamom; serve warm."
Cucumber Salad,"Cucumber, Yogurt, Mustard Seeds, Coriander Leaves, Salt",10 min,80,4,3,8,"Mild, Savory",Digestive Problems; Skin Health,Cooling cucumber yogurt salad rich in probiotics and antioxidants; aids digestion and skin beauty.,"1. Chop cucumber. 2. Mix with yogurt and salt. 3. Heat oil, temper mustard seeds; add coriander; mix in salad. Serve chilled."
Banana Pancakes,"Banana, Wheat Flour, Milk, Sugar, Baking Powder, Ghee",20 min,220,5,7,35,Sweet,Diabetes; Weight Gain; Digestive Problems,Healthy banana pancakes rich in fiber and minerals support energy and digestion.,"1. Mash banana. 2. Mix with flour, milk, sugar, baking powder to make batter. 3. Cook pancakes on pan with ghee till golden; serve warm."
Beetroot & Carrot Salad,"Beetroot, Carrot, Lemon (From List), Mustard Seeds, Salt, Coriander Leaves",15 min,70,2,1,15,"Tangy, Sweet",Anemia; Skin Health; Vitamin Deficiency,Fresh beetroot and carrot salad rich in iron and vitamins supports blood and skin health.,"1. Grate beetroot and carrot. 2. Toss with lemon juice, salt, mustard seeds, coriander. Serve fresh."
Cucumber Raita,"Cucumber, Yogurt, Mustard Seeds, Coriander Leaves, Salt, Olive Oil",10 min,80,4,4,8,"Mild, Savory",Digestive Problems; Skin Health,Cooling raita with probiotics and antioxidants; aids digestion and skin nourishment.,"1. Chop cucumber. 2. Mix with yogurt and salt. 3. Heat oil, temper mustard seeds and coriander; add to raita; serve chilled."
Carrot Sundal,"Carrot, Mustard Seeds, Urad Dal, Dried Red Chili, Curry Leaves, Salt, Sesame Oil",20 min,110,3,5,12,Savory,Digestive Problems; Weight Management,Fiber-rich carrot stir fry supporting digestion and weight control.,"1. Heat oil, temper mustard seeds, urad dal, chili, curry leaves. 2. Add grated carrot and salt; cook till tender. Serve warm."
Tomato Pappu,"Toor Dal, Tomatoes, Mustard Seeds, Curry Leaves, Turmeric, Salt, Sesame Oil",30 min,140,8,3,20,"Tangy, Savory",Diabetes; Heart Disease; Cholesterol,Protein-rich dal with tomatoes supports blood sugar control and heart health.,"1. Pressure cook dal. 2. Heat oil, temper mustard seeds, curry leaves; add tomatoes, turmeric, salt. 3. Add dal and cook 5 min; serve hot."
Pumpkin Curry,"Pumpkin, Mustard Seeds, Curry Leaves, Turmeric, Dried Red Chili, Salt, Sunflower Oil",25 min,120,3,6,15,"Savory, Mild",Vitamin Deficiency; Digestive Problems,Pumpkin curry rich in fiber and vitamins supports digestion and vitamin intake.,"1. Heat oil, temper mustard seeds, curry leaves, chili. 2. Add chopped pumpkin turmeric, salt; cook 15 min; serve warm."
Chicken Stew,"Chicken Breasts, Carrots, Potatoes, Cinnamon Stick, Cloves, Onions, Milk, Ghee, Salt",50 min,350,30,18,15,"Mild, Savory",Protein Deficiency; Diabetes; Heart Disease,Flavorful chicken stew with veggies and spices; supports muscle repair and heart health.,"1. Heat ghee, saut� onions and whole spices. 2. Add chicken and veggies; cook 10 min. 3. Add milk and salt; simmer 30 min; serve hot."
Sweet Potato Chutney,"Sweet Potatoes, Mustard Seeds, Dried Red Chili, Salt, Coconut Oil",20 min,140,3,7,25,"Sweet, Mild",Diabetes; Weight Management; Digestive Problems,Sweet potato chutney rich in fiber and vitamins aids digestion and blood sugar control.,"1. Boil and mash sweet potatoes. 2. Heat oil, temper mustard seeds and chili. 3. Mix potatoes and tempering with salt; cook 5 min; serve warm."
Green Peas Sundal,"Green Peas, Mustard Seeds, Curry Leaves, Dried Red Chili, Salt, Sesame Oil",20 min,120,6,4,20,"Mild, Savory",Diabetes; Heart Disease; Weight Management,Protein and fiber-rich green peas stir fry supports heart health and weight control.,"1. Boil peas. 2. Heat oil, temper mustard seeds, curry leaves, chili. 3. Add peas, salt; saut� 5 min; serve warm."
Masala Dosa,"Rice, Urad Dal, Mustard Seeds, Fenugreek Seeds, Salt, Oil, Onion, Green Chili, Turmeric",12 hrs ferment + 30 min cooking,230,7,8,38,"Savory, Spicy",Diabetes; Digestive Problems; Weight Management,Fermented rice crepe with spiced onion filling; aids digestion and keeps glycemic index low.,"1. Soak rice, dal; grind, ferment overnight. 2. Prepare onion masala. 3. Spread batter, add masala; cook with oil till crisp; serve with chutney and sambar."
Watermelon Salad,"Watermelon, Mint Leaves, Lemon (From List), Black Salt, Sugar",10 min,60,1,0,15,"Sweet, Tangy",Hydration; Electrolyte Balance; Skin Health,"Refreshing watermelon salad with mint aids hydration, electrolyte balance, and skin nourishment.","1. Cube watermelon. 2. Toss with chopped mint, lemon juice, black salt, sugar; serve chilled."
Jackfruit Curry,"Raw Jackfruit, Mustard Seeds, Dried Red Chili, Curry Leaves, Turmeric, Salt, Coconut Oil",40 min,160,4,8,20,"Spicy, Savory",Diabetes; Weight Management; Digestive Problems,Tender jackfruit cooked in spices; high fiber and low calorie; supports digestion and weight control.,"1. Heat coconut oil, temper mustard seeds, chili, curry leaves. 2. Add chopped jackfruit, turmeric, salt; cook till tender. Serve hot."
Avocado Salad,"Avocado, Tomato, Cucumber, Onion, Lemon (From List), Coriander Leaves, Salt, Olive Oil",15 min,180,3,12,15,"Savory, Mild",Heart Disease; Skin & Hair Problems,Creamy avocado salad rich in healthy fats and antioxidants supporting cardiovascular and skin health.,"1. Chop avocado, tomato, cucumber, onion. 2. Toss with salt, lemon juice, olive oil, coriander. Serve fresh."
Mutton Pepper Fry,"Mutton, Black Pepper, Mustard Seeds, Curry Leaves, Salt, Sesame Oil",45 min,320,25,18,5,"Spicy, Savory",Protein Deficiency; Heart Disease,Spicy dry-fry mutton rich in protein and pepper�s antioxidants supporting immunity and heart health.,"1. Heat sesame oil, temper mustard seeds, curry leaves. 2. Add mutton, salt, black pepper; cook till dry and tender. Serve hot."
Lychee Raita,"Lychee, Yogurt, Cardamom, Sugar, Salt",15 min,130,4,3,22,"Sweet, Mild",Digestive Problems; Skin Health,Refreshing raita with probiotics and antioxidants supports digestion and skin.,"1. Peel lychees, chop. 2. Mix with yogurt, sugar, salt, cardamom; serve chilled."
Pumpkin Chutney,"Pumpkin, Mustard Seeds, Dried Red Chili, Salt, Coconut Oil",20 min,120,3,7,15,"Sweet, Mild",Vitamin Deficiency; Digestive Problems,Sweet and mild chutney rich in fiber and vitamins supports healthy digestion and vitamin intake.,"1. Boil pumpkin. 2. Heat coconut oil, temper mustard seeds, chili. 3. Mix pumpkin and tempering with salt; cook 5 min; serve warm."
Almond Ladoo,"Almonds, Jaggery Powder, Ghee",30 min,280,8,18,22,Sweet,Weight Gain; Bone & Joint Problems,Energy-rich laddu rich in healthy fats calcium and antioxidants supports bone health and energy levels.,1. Dry roast almonds; grind coarsely. 2. Heat jaggery syrup in ghee. 3. Mix almonds into syrup; shape laddus when warm; cool before serving.
Green Gram Salad,"Green Gram, Tomatoes, Onions, Coriander Leaves, Lemon (From List), Salt, Olive Oil",20 min,150,9,5,20,"Tangy, Savory",Diabetes; Weight Management; Heart Disease,Protein-packed green gram salad supporting blood sugar control and cardiovascular health.,"1. Boil green gram. 2. Chop vegetables. 3. Mix all with salt, lemon juice, olive oil; serve fresh."
Ice Apple Drink,"Ice Apple (Tadgola), Water, Sugar, Lemon (From List)",10 min,60,1,0,15,"Sweet, Tangy",Hydration; Cold Relief,Cooling drink with hydrating ice apple and vitamin C rich lemon; great for heat and cold symptom relief.,"1. Peel ice apple, chop. 2. Blend with water, sugar, lemon juice; serve chilled."
Tender Coconut Curry,"Tender Coconut Water, Tender Coconut Pieces, Mustard Seeds, Curry Leaves, Green Chili, Coconut Milk, Salt, Sesame Oil",30 min,140,3,8,18,"Savory, Mild",Digestive Problems; Heart Disease,Light curry with tender coconut and coconut milk rich in electrolytes and healthy fats; supports digestion and heart health.,"1. Heat sesame oil, temper mustard seeds, curry leaves, chili. 2. Add coconut water and tender coconut pieces. 3. Add coconut milk, salt; simmer 15 min; serve warm."
Papaya Smoothie,"Papaya, Yogurt, Honey (Optional), Flaxseed Oil",10 min,150,5,6,22,"Sweet, Mild",Vitamin Deficiency; Skin Health; Digestive Problems,Nutritious smoothie with papaya�s antioxidants and fiber plus probiotics and omega-3s; supports digestion and skin.,"1. Blend papaya, yogurt, honey, flaxseed oil until smooth; serve chilled."
Black Rice Pongal,"Black Rice, Moong Dal, Ginger, Cumin Seeds, Salt, Ghee",30 min,210,8,6,38,"Savory, Mild",Diabetes; Digestive Problems; Heart Disease,Nutrient-rich black rice and dal pongal with anti-inflammatory ginger; supports digestion and heart health.,"1. Roast black rice. 2. Pressure cook moong dal with water. 3. Heat ghee, temper cumin seeds, ginger; add rice and dal; cook till soft. Serve warm."
Lychee Salad,"Lychee, Cucumber, Mint Leaves, Lemon (From List), Salt",15 min,70,1,0,18,"Sweet, Tangy",Vitamin Deficiency; Digestive Problems,Refreshing lychee cucumber salad rich in vitamins and hydration; supports digestion and vitamin balance.,"1. Chop lychee and cucumber. 2. Toss with lemon juice, salt, chopped mint. Serve fresh."
Drumstick Leaf Soup,"Drumstick Leaves, Garlic, Mustard Seeds, Dried Chili, Salt, Sesame Oil",25 min,130,7,7,10,"Spicy, Mild",Anemia; Thyroid; Heart Disease,Iron-rich drumstick leaves soup with garlic�s anti-inflammatory properties; supports anemia and thyroid health.,"1. Heat oil, temper mustard seeds, garlic, chili. 2. Add cleaned drumstick leaves, salt; cook 15 min. Blend if desired; serve hot."
Pomegranate Chutney,"Pomegranate Seeds, Green Chili, Mustard Seeds, Curry Leaves, Salt, Olive Oil",15 min,100,2,5,15,"Tangy, Sweet",Anti-inflammatory; Skin & Hair Problems,Antioxidant-rich pomegranate chutney supports skin health and fights inflammation.,"1. Blend pomegranate with chili and salt. 2. Heat oil, temper mustard seeds, curry leaves; add to chutney; serve fresh."
Eggplant (Brinjal) Curry,"Eggplant, Mustard Seeds, Dried Red Chili, Curry Leaves, Turmeric, Salt, Sesame Oil",30 min,140,3,6,18,"Spicy, Savory",Diabetes; Heart Disease; Digestive Problems,Fiber and vitamin-rich eggplant curry supports heart health and digestion.,"1. Heat oil, temper mustard seeds, curry leaves, chili. 2. Add chopped eggplant, turmeric, salt; cook till tender. Serve hot."
Mango Rasam,"Mango, Tamarind Paste, Mustard Seeds, Green Chili, Curry Leaves, Turmeric, Salt, Sesame Oil",20 min,90,3,3,15,"Tangy, Spicy",Digestive Problems; Vitamin Deficiency,Tangy and spicy mango rasam rich in antioxidants and digestion-supporting spices.,"1. Boil tamarind paste with water. 2. Add mango cubes, turmeric, salt. 3. Temper mustard seeds, curry leaves, green chili in oil; combine. Serve hot."
Cashew Curry,"Cashews, Onions, Tomatoes, Mustard Seeds, Curry Leaves, Ginger, Garlic, Salt, Ghee",35 min,280,6,18,20,"Savory, Mild",Weight Gain; Protein Deficiency; Heart Disease,Rich and creamy cashew curry providing good protein and healthy fats; supports muscle and heart health.,"1. Heat ghee, temper mustard seeds. 2. Saut� onions, ginger, garlic. 3. Add tomatoes, cashews; cook till soft. Blend if desired; serve hot."
