Food Name,Calories,Protein_g,Carbohydrates_g,taste,Ingredients,prep_time,Instruction,Description,Fat,No_serving,
Orange Biryani,109,8,32,"Astringent, Salty","Basmati Rice, Orange, Onion, Green Chili, Ginger, Garlic, Cumin Seeds, Cinnamon, Cloves, Cardamom, Bay Leaf, Coriander Leaves, Salt, Ghee",Total in 25 Min,"In ghee bloom cumin, cinnamon, cloves, cardamom, and bay; sauté onion, ginger, garlic, and green chili; add orange and salt; fold in rice and coriander; steam briefly.",Orange biryani; lutein and carotenoids support eye health.,9,3,
Orange Pulao,150,6,24,"Salty, Astringent","Rice, Moong Dal, Orange, Green Chili, Ginger, Curry Leaves, Cumin Seeds, Turmeric Powder, Salt, Ghee,Onion",Total in 25 Min,"Pressure-cook rice and moong dal with turmeric and salt; temper ghee with cumin, curry leaves, ginger, green chili, and onion; fold in orange and rest covered.",Orange pulao; antioxidants and vitamin A support vision.,5,3,
Orange Khichdi,200,7,36,"Salty, Astringent","Rava , Orange, Green Chili, Ginger, Curry Leaves, Mustard Seeds, Urad Dal, Chana Dal, Red Chili, Salt, Ghee",Total in 20 Min,"Dry-roast rava in ghee; splutter mustard seeds, urad dal, chana dal, red chili, and curry leaves; sauté ginger and green chili; add water, salt, and orange pieces or juice; rain in rava and cook to soft khichdi.",Orange khichdi; fiber and carotenoids promote retinal function.,6,2,
Orange Upma,50,9,36,"Sweet, Astringent","Rice, Urad Dal, Orange, Fenugreek Seeds, Green Chili, Cumin Seeds, Salt, Ghee",Total in 30 Min,"Rinse rice and urad dal; temper ghee with fenugreek, cumin, and green chili; add chopped orange, salt, and water; stir in rice?urad and simmer to an upma-like consistency.",Orange upma; lutein-rich breakfast supports macula.,8,3,
Orange Dosa,100,7,32,"Astringent, Salty","Wheat Flour, Orange, Green Chili, Coriander Leaves, Cumin Powder, Red Chili Powder, Salt, Ghee",Total in 25 Min,"Whisk wheat flour with orange pulp or bits, green chili, coriander leaves, cumin powder, red chili powder, salt, and water; spread thin on a hot ghee-brushed tawa and cook both sides.",Orange dosa; beta-carotene helps prevent night blindness.,6,4,
Orange Idli,150,8,24,"Astringent, Salty","Orange, Gram Flour, Red Chili Powder, Turmeric Powder, Green Chili, Curry Leaves, Salt, Sunflower Oil",Total in 15 Min,"Make a thick gram-flour batter with orange bits, red chili powder, turmeric, chopped green chili, curry leaves, salt, and water; oil molds with sunflower oil and steam as idlis.",Orange idli; preserves carotenoids and lutein for eye protection.,7,3,
Orange Paratha,40,10,34,"Astringent, Salty","Orange, Boiled Potato, Green Chili, Coriander Leaves, Bread Crumbs, Red Chili Powder, Salt, Sunflower Oil",Total in 15 Min,"Mash boiled potato with minced orange, green chili, coriander, bread crumbs, red chili powder, and salt; stuff into wheat dough, roll, and tawa-cook with a light brushing of oil.",Orange paratha; lutein and fiber support macula and gut health.,6,3,
,,,,,,,,,,,
Orange Cutlet,180,9,32,"Astringent, Bitter","Orange, Paneer, Boiled Potato, Green Chili, Coriander Leaves, Garam Masala, Bread Crumbs, Salt, Sunflower Oil",Total in 20 Min,"Combine grated orange, paneer, and boiled potato with green chili, coriander, garam masala, bread crumbs, and salt; shape cutlets and shallow-fry until crisp.",Orange cutlet; carotenoids and vitamin C support vision.,6,3,
Orange Tikki,100,8,42,"Astringent, Bitter","Orange, Yogurt, Red Chili Powder, Turmeric Powder, Garam Masala, Cumin Powder, Ginger, Garlic, Salt, Mustard Oil",Total in 25 Min,"Whisk thick yogurt with red chili powder, turmeric, garam masala, cumin, grated ginger, minced garlic, and salt; fold in fine orange, shape small tikkis, and sear in hot mustard oil.",Orange tikki; lutein helps protect macula.,7,4,
Orange Kebab,150,5,18,"Sweet, Astringent","Orange, Paneer, Ginger, Garlic, Green Chili, Garam Masala, Yogurt, Salt, Sunflower Oil",Total in 20 Min,"Marinate paneer and orange segments in yogurt, ginger, garlic, green chili, garam masala, and salt; skewer and sear in a little sunflower oil until lightly charred.",Orange kebab; antioxidants reduce oxidative stress in retinal cells.,3,2,
,,,,,,,,,,,
Orange Grilled,180,4,20,"Sweet, Astringent","Orange, Olive Oil, Salt, Black Pepper, Cumin Powder, Coriander Powder",Total in 20 Min,"Brush orange slices with olive oil, salt, black pepper, cumin, and coriander; grill on high heat until lightly charred.",Orange grilled; carotenoids support retinal function.,4,2,
Orange Baked,150,5,18,"Sweet, Astringent","Orange, Olive Oil, Salt, Black Pepper, Herbs, Garlic",Total in 25 Min,"Toss orange wedges with olive oil, salt, black pepper, herbs, and crushed garlic; bake hot until edges caramelize.",Orange baked; retains lutein and beta-carotene.,3,2,
Orange Roast,120,7,28,"Sweet, Astringent","Orange, Olive Oil, Salt, Black Pepper, Red Chili Powder, Garam Masala",Total in 25 Min,"Coat orange slices with olive oil, salt, black pepper, red chili powder, and garam masala; roast at high heat until glossy.",Orange roast; antioxidants support eye health.,7,2,
,,,,,,,,,,,
Orange Sandwich,150,7,26,Sweet,"Bread, Orange, Paneer, Lettuce, Tomato, Cucumber, Mint Chutney, Butter",Total in 20 Min,"Butter bread; layer orange, paneer, lettuce, tomato, cucumber, and mint chutney; press-toast until warm.",Orange sandwich; antioxidants and carotenoids protect eyes.,8,3,
Orange Smoothie,200,5,22,"Sweet, Astringent","Orange, Yogurt, Milk, Honey",Total in 20 Min,"Blend orange, yogurt, milk, and honey until smooth; chill before serving.",Orange smoothie; lutein and antioxidants support macula.,7,2,
Orange Milkshake,250,5,20,"Salty, Astringent","Orange, Milk, Ice Cream, Sugar, Cardamom Powder",Total in 25 Min,"Blend cold orange segments with milk, ice cream, sugar, and cardamom until frothy.",Orange milkshake; carotenoids plus calcium support eye and bone health.,6,2,
Orange Chutney,60,6,16,"Astringent, Salty","Orange, Jaggery, Red Chili, Salt, Tamarind, Sesame Oil",Total in 20 Min,"Simmer sesame oil with jaggery, red chili, tamarind, salt, and chopped orange until thick and glossy; cool.",Orange chutney; antioxidants protect retinal cells.,3,2,
Orange Sundal,90,7,34,"Astringent, Bitter","Orange, Chickpeas, Green Chili, Curry Leaves, Mustard Seeds, Salt, Coconut Oil",Total in 20 Min,"Heat coconut oil; splutter mustard seeds and curry leaves; add chickpeas, green chili, salt, and orange; toss warm and serve.",Orange sundal; protein and lutein support vision.,8,3,
Orange Kofta,100,5,22,"Salty, Astringent","Orange, Paneer, Green Chili, Ginger, Garlic, Garam Masala, Besan, Salt, Sunflower Oil",Total in 25 Min,"Mix grated orange, crumbled paneer, minced green chili, ginger?garlic, garam masala, besan, and salt; shape koftas and shallow-fry in sunflower oil until golden.",Orange kofta; antioxidants maintain retinal function.,6,2,
Orange Kadhi,80,7,32,"Salty, Astringent","Yogurt, Orange Juice, Gram Flour, Green Chili, Curry Leaves, Cumin Seeds, Salt, Mustard Oil",Total in 20 Min,"Whisk yogurt with orange juice, gram flour, salt, and crushed cumin; temper mustard oil with curry leaves and green chili, pour into the pot, and simmer gently until slightly thick.",Orange kadhi; probiotics and antioxidants support macula.,8,3,
Orange Pongal,70,7,28,"Salty, Astringent","Rice, Moong Dal, Orange, Ginger, Green Chili, Curry Leaves, Black Pepper, Salt, Ghee",Total in 15 Min,"Pressure-cook rice and moong dal with salt; crackle ghee with ginger, green chili, curry leaves, and black pepper; fold in orange pieces and rest covered.",Orange pongal; lutein helps maintain healthy vision.,8,3,
Orange Uttapam,150,6,22,"Salty, Astringent","Rice Flour, Urad Dal, Orange, Green Chili, Curry Leaves, Salt, Ghee",Total in 20 Min,"Soak urad dal; grind with rice flour and salt; spread thick on a ghee-brushed tawa, top with fine orange and green chili, and cook both sides as uttapam.",Orange uttapam; beta-carotene prevents night blindness.,5,2,
Orange Handvo,200,5,20,"Salty, Astringent","Rice Flour, Yogurt, Orange, Green Chili, Ginger, Curry Leaves, Salt, Ghee,Lentil Flour",Total in 20 Min,"Whisk rice flour, lentil flour, yogurt, grated orange, green chili, ginger, curry leaves, and salt; pour into a ghee-greased pan and bake until set and crisp-edged (handvo).",Orange handvo; antioxidants protect retinal cells.,4,2,
Orange Dhokla,180,6,16,Sweet,"Gram Flour, Orange, Green Chili, Curry Leaves, Salt, Sunflower Oil",Total in 20 Min,"Make a pourable gram-flour batter with grated orange, chopped green chili, curry leaves, salt, and water; steam in oiled molds, then drizzle hot sunflower oil.",Orange dhokla; retains lutein and beta-carotene.,3,2,
Orange Usili,150,7,22,"Salty, Astringent","Rice Flour, Orange, Urad Dal, Green Chili, Salt, Ghee",Total in 25 Min,"Pulse soaked urad dal coarse; steam crumbles; heat ghee, sizzle green chili, toss with rice flour crumbs, salt, and orange until coated.",Orange usili; protein and antioxidants support eye health.,6,2,
Orange Adai,160,6,24,"Salty, Astringent","Rice, Urad Dal, Orange, Green Chili, Curry Leaves, Salt, Ghee",Total in 25 Min,"Soak rice and urad; grind coarse with green chili, curry leaves, and salt; spread on a ghee-brushed tawa, dot orange bits, and cook adai both sides.",Orange adai; lutein-rich for vision support.,6,2,
Orange Puttu,80,7,26,"Sweet, Astringent","Rice, Urad Dal, Orange, Green Chili, Curry Leaves, Salt, Ghee",Total in 20 Min,"Steam-moisten rice flour with salt; layer orange pieces with crumbled urad dal, green chili, and curry leaves; steam and finish with a spoon of ghee.",Orange puttu; beta-carotene supports night vision.,7,2,
Orange Pesarattu,150,4,18,"Astringent, Bitter","Basmati Rice, Orange, Green Chili, Ginger, Garlic, Curry Leaves, Salt, Ghee",Total in 25 Min,"Grind rinsed basmati with ginger, garlic, green chili, and salt; spread thin on a ghee-hot tawa, scatter orange and curry leaves, and cook pesarattu crisp.",Orange pesarattu; antioxidants reduce retinal damage.,9,2,
Orange Pulao with Greens,180,8,42,"Astringent, Bitter","Orange, Steamed Rice, Salt, Green Chili, Curry Leaves",Total in 20 Min,"Toss hot steamed rice with slit green chili, torn curry leaves, salt, and orange pieces; sizzle briefly and serve warm.",Orange pulao with greens; lutein and vitamin A support macula.,8,4,
Orange Steamed,120,7,40,"Bitter, Astringent","Orange, Wheat Flour, Green Chili, Salt, Ghee",Total in 25 Min,"Knead wheat flour with salt; mix in chopped orange and green chili; pat small discs, brush with ghee, and steam until set.",Orange steamed; preserves maximum antioxidants for eyes.,7,4,
Orange Pan-fried,100,9,36,"Astringent, Bitter","Orange, Green Chili, Garlic, Soy Sauce, Vinegar, Salt, Sesame Oil",Total in 25 Min,"Stir-fry orange with minced green chili and garlic in hot sesame oil; splash soy sauce and vinegar, season with salt, and toss 30?60 seconds.",Orange pan-fried; retains lutein and beta-carotene.,6,3,
Orange Stir Fry,50,6,32,"Sweet, Astringent","Orange, Wood Smoke Flavor, Salt, Pepper, Olive Oil",Total in 30 Min,"Sear orange segments in olive oil, season with salt and pepper, add a hint of wood-smoke flavor, and serve warm.",Orange stir fry; maintains carotenoids for vision health.,6,3,
Orange Smoked,60,7,34,Sweet,"Orange, Yogurt, Ginger, Garlic, Red Chili Powder, Salt, Mustard Oil",Total in 20 Min,"Marinate orange in yogurt, ginger?garlic, red chili powder, salt, and a few drops of mustard oil; smoke or roast briefly until lightly charred.",Orange smoked; antioxidants help protect retinal cells.,6,2,
Orange Marinated,100,6,30,Sweet,"Orange, Paneer, Green Chili, Ginger, Garlic, Garam Masala, Salt, Sunflower Oil",Total in 15 Min,"Marinate paneer and orange with green chili, ginger?garlic, garam masala, and salt; sauté in sunflower oil on high until edges color.",Orange marinated; antioxidants reduce oxidative stress in eyes.,5,3,
Orange Stuffed,120,8,36,"Astringent, Bitter","Orange, Paneer, Grated Carrot, Green Chili, Coriander Leaves, Salt, Sunflower Oil",Total in 20 Min,"Fill hollowed orange cups with crumbled paneer, grated carrot, green chili, coriander, and salt; brush with sunflower oil and bake until set.",Orange stuffed; carotenoids and protein support vision.,7,2,
Orange Rolls,150,6,28,"Astringent, Bitter","Orange, Paneer, Boiled Potato, Green Chili, Coriander Leaves, Salt, Sunflower Oil",Total in 20 Min,"Mix paneer, boiled potato, minced orange, green chili, coriander, and salt; roll tight logs and pan-sear in sunflower oil until golden.",Orange rolls; convenient antioxidant source for eye protection.,8,3,
Orange Balls,250,7,30,"Sweet, Astringent","Orange, Gram Flour, Red Chili Powder, Salt, Turmeric, Sunflower Oil",Total in 25 Min,"Combine orange pulp with gram flour, red chili powder, turmeric, and salt; form small balls and shallow-fry in sunflower oil until crisp.",Orange balls; concentrated source of lutein and carotenoids.,9,3,
Orange Crisps,200,7,28,"Astringent, Bitter","Orange, Sugar, Lemon Juice, Salt, Sunflower Oil",Total in 30 Min,"Simmer thin sugar syrup with lemon juice and a pinch of salt; dip very thin orange slices, drain, brush with a film of sunflower oil, and bake low until crisp.",Orange crisps; antioxidants support macula and retinal health.,7,3,
Orange Chips,180,9,32,"Astringent, Salty","Orange, Salt, Chili Powder, Turmeric, Sunflower Oil",Total in 20 Min,"Slice orange thin, toss with sunflower oil, chili powder, turmeric, and salt, then bake or air-fry until crisp.",Orange chips; provide beta-carotene for night vision.,8,3,
Orange Raita with Greens,160,8,28,"Astringent, Salty","Yogurt, Orange, Cucumber, Coriander Leaves, Green Chili, Salt",Total in 25 Min,"Whisk yogurt with salt, fold in chopped orange, cucumber, coriander leaves, and minced green chili, then chill.",Orange raita with greens; lutein plus probiotics support eye and gut health.,6,2,
Pineapple Fry,200,6,24,"Astringent, Bitter","Pineapple, Green Chili, Ginger, Garlic, Curry Leaves, Salt, Coconut Oil",Total in 25 Min,"Heat coconut oil, sauté green chili, ginger, garlic, and curry leaves, add pineapple with salt, and fry until edges caramelize.",Pineapple fry; vitamin C and carotenoids support retinal health.,5,2,
Pineapple Masala,150,5,22,"Astringent, Bitter","Pineapple, Green Chili, Ginger, Garlic, Turmeric, Coriander Powder, Salt, Coconut Oil",Total in 20 Min,"Warm coconut oil, sauté green chili, ginger, and garlic with turmeric and coriander powder, add pineapple and salt, and cook until coated.",Pineapple masala; antioxidants protect eye tissue.,7,2,
Pineapple Stew,49,5,20,"Astringent, Salty","Pineapple, Tomato, Onion, Green Chili, Garlic, Ginger, Turmeric, Salt, Coconut Oil",Total in 30 Min,"Heat coconut oil, sauté tomato, onion, green chili, garlic, and ginger with turmeric and salt, add pineapple, and simmer to a light stew.",Pineapple stew; soft-cooked pineapple retains carotenoids.,6,2,
Pineapple Soup,128,9,40,"Astringent, Salty","Pineapple, Onion, Garlic, Ginger, Black Pepper, Salt, Coconut Oil",Total in 25 Min,"Sauté onion, garlic, and ginger in coconut oil, add pineapple with water, simmer 8?10 minutes, blend smooth, and season with black pepper and salt.",Pineapple soup; beta-carotene and antioxidants support macula.,9,2,
Pineapple Poriyal,250,7,34,"Astringent, Salty","Pineapple, Grated Coconut, Green Chili, Mustard Seeds, Curry Leaves, Salt, Coconut Oil",Total in 15 Min,"Heat coconut oil, splutter mustard seeds and curry leaves, add pineapple, grated coconut, green chili, and salt, and toss 2 minutes.",Pineapple poriyal; stir-fried pineapple retains carotenoids for retinal protection.,8,2,
Pineapple Thoran,70,5,18,"Astringent, Salty","Pineapple, Grated Coconut, Green Chili, Mustard Seeds, Curry Leaves, Salt, Coconut Oil",Total in 15 Min,"Heat coconut oil, splutter mustard seeds and curry leaves, add pineapple, grated coconut, green chili, and salt, and sauté briefly.",Pineapple thoran; antioxidants and lutein support macula.,3,2,
Pineapple Thoran with Coconut,85,6,26,"Astringent, Salty","Basmati Rice, Pineapple, Green Chili, Ginger, Garlic, Curry Leaves, Salt, Ghee",Total in 15 Min,"Cook basmati in ghee with green chili, ginger, garlic, curry leaves, and salt, toss in pineapple and toasted cashews, and steam 2 minutes.",Pineapple thoran with coconut; carotenoids plus healthy fats protect vision.,4,2,
Pineapple Biryani,109,7,28,"Salty, Astringent","Basmati Rice, Pineapple, Green Chili, Ginger, Garlic, Curry Leaves, Cashews, Salt, Ghee",Total in 20 Min,"Sauté green chili, ginger, garlic, and curry leaves in ghee, add rinsed rice, pineapple, salt, and water, and cook to fluffy pulao.",Pineapple biryani; lutein and carotenoids support eye health.,5,2,
Pineapple Pulao,150,9,28,"Salty, Astringent","Rice, Moong Dal, Pineapple, Green Chili, Ginger, Garlic, Curry Leaves, Salt, Ghee",Total in 25 Min,"Dry-roast rava in ghee, sauté ginger and green chili in ghee, add hot water, salt, and pineapple, rain in rava, and stir to soft khichdi.",Pineapple pulao; antioxidants and vitamin A support vision.,6,3,
Pineapple Khichdi,200,8,32,"Sweet, Astringent","Rava, Pineapple, Green Chili, Ginger, Salt, Ghee",Total in 20 Min,"Temper ghee with urad dal, curry leaves, and green chili, add rice flour, pineapple, salt, and water, and stir to an upma.",Pineapple khichdi; fiber and carotenoids promote retinal function.,9,3,
Pineapple Upma,50,6,24,"Astringent, Salty","Rice Flour, Urad Dal, Pineapple, Green Chili, Curry Leaves, Salt, Ghee",Total in 30 Min,"Ferment a rice flour?urad dal batter with salt, ladle on a ghee-brushed tawa, top with fine pineapple and green chili, and cook dosas.",Pineapple upma; lutein-rich breakfast supports macula.,5,3,
Pineapple Dosa,100,8,42,"Astringent, Salty","Rice Flour, Urad Dal, Pineapple, Green Chili, Salt, Ghee",Total in 20 Min,"Make a thick batter from wheat flour, salt, minced pineapple, green chili, and coriander leaves, cook small idlis in oiled molds.",Pineapple dosa; beta-carotene helps prevent night blindness.,8,4,
Pineapple Idli,150,7,36,"Astringent, Salty","Wheat Flour, Pineapple, Green Chili, Coriander Leaves, Salt, Ghee",Total in 25 Min,"Butter bread, layer pineapple, lettuce, tomato, cucumber, and mint chutney, and grill-press until edges crisp.",Pineapple idli; preserves carotenoids and lutein for eye protection.,6,2,
Pineapple Paratha,40,9,36,"Astringent, Salty","Bread, Pineapple, Lettuce, Tomato, Cucumber, Mint Chutney, Butter",Total in 25 Min,"Whisk gram flour with water, salt, and minced green chili, dip pineapple pieces and curry leaves, and shallow-fry in sunflower oil.",Pineapple paratha; lutein and fiber support macula and gut health.,8,3,
Pineapple Pakora,120,7,32,"Astringent, Bitter","Pineapple, Gram Flour, Green Chili, Salt, Curry Leaves, Sunflower Oil",Total in 20 Min,"Mix boiled potato, chopped pineapple, green chili, coriander leaves, and salt, bind with a little oil, shape cutlets, and shallow-fry.",Pineapple pakora; antioxidants maintain retinal health.,6,4,
Pineapple Cutlet,180,8,24,"Astringent, Bitter","Pineapple, Boiled Potato, Green Chili, Coriander Leaves, Salt, Sunflower Oil",Total in 20 Min,"Mash potato with chopped pineapple, green chili, coriander leaves, and salt, form small tikkis, and pan-sear until golden.",Pineapple cutlet; carotenoids and vitamin C support vision.,7,3,
Pineapple Tikki,100,10,34,"Sweet, Astringent","Pineapple, Boiled Potato, Green Chili, Coriander Leaves, Salt, Sunflower Oil",Total in 20 Min,"Marinate pineapple and paneer with green chili, ginger, garlic, garam masala, salt, and a little oil, skewer, and sear.",Pineapple tikki; lutein helps protect macula.,6,3,
Pineapple Kebab,150,6,30,"Astringent, Bitter","Pineapple, Paneer, Green Chili, Ginger, Garlic, Salt, Garam Masala, Sunflower Oil",Total in 25 Min,"Marinate pineapple in yogurt, garam masala, turmeric, ginger-garlic paste, lemon juice, salt, and a little oil, then roast hot.",Pineapple kebab; antioxidants reduce oxidative stress in retinal cells.,5,2,
,,,,,,,,,,,
Pineapple Grilled,200,8,42,"Sweet, Astringent","Pineapple, Lemon Juice, Black Pepper, Salt, Thyme, Olive Oil",Total in 20 Min,"Toss pineapple wedges with olive oil, lemon juice, salt, cracked black pepper, and thyme; grill on high heat or roast at 220°C until lightly charred and caramelized, then serve warm.",Pineapple grilled; carotenoids support retinal function.,8,3,
Pineapple Baked,180,5,20,Sweet,"Pineapple, Honey, Cinnamon, Nutmeg, Salt, Olive Oil",Total in 25 Min,"Toss pineapple with olive oil, honey, cinnamon, nutmeg, and a pinch of salt, and bake until caramelized.",Pineapple baked; retains lutein and beta-carotene.,1,2,
Pineapple Roast,150,6,24,Sweet,"Pineapple, Garlic, Black Pepper, Thyme, Salt, Olive Oil",Total in 20 Min,"Roast pineapple with olive oil, crushed garlic, thyme, black pepper, and salt until glossy and tender.",Pineapple roast; antioxidants support eye health.,5,2,
Pineapple Stuffed Paratha,120,7,26,"Sweet, Astringent","Wheat Flour, Pineapple, Green Chili, Coriander Leaves, Salt, Yogurt, Ghee",Total in 15 Min,"Knead wheat flour with yogurt, ghee, and salt, stuff with minced pineapple, green chili, and coriander leaves, roll, and cook.",Pineapple stuffed paratha; lutein and fiber promote macula and gut health.,6,2,
Pineapple Sandwich,180,5,20,"Salty, Astringent","Bread, Pineapple, Lettuce, Tomato, Cucumber, Mint Chutney, Butter",Total in 20 Min,"Butter bread, layer pineapple, lettuce, tomato, cucumber, and mint chutney, and toast lightly.",Pineapple sandwich; antioxidants and carotenoids protect eyes.,5,2,
Pineapple Smoothie,150,6,22,"Astringent, Salty","Pineapple, Yogurt, Honey",Total in 20 Min,Blend pineapple with yogurt and honey until smooth and chill.,Pineapple smoothie; lutein and antioxidants support macula.,6,2,
Pineapple Milkshake,200,7,28,"Astringent, Bitter","Pineapple, Milk, Sugar",Total in 20 Min,Blend pineapple with cold milk and sugar until frothy and cold.,Pineapple milkshake; carotenoids plus calcium support eye and bone health.,7,2,
Pineapple Chutney,25,8,30,"Salty, Astringent","Pineapple, Green Chili, Ginger, Garlic, Salt, Curry Leaves, Coconut Oil,",Total in 25 Min,"Pound pineapple with green chili, ginger, garlic, curry leaves, and salt, sizzle a spoon of coconut oil, and fold in.",Pineapple chutney; antioxidants protect retinal cells.,8,2,
Pineapple Sundal,120,8,32,"Salty, Astringent","Boiled Chickpeas, Pineapple, Green Chili, Mustard Seeds, Curry Leaves, Salt, Coconut Oil",Total in 25 Min,"Temper coconut oil with mustard seeds and curry leaves, toss boiled chickpeas with green chili, salt, and pineapple, and warm through.",Pineapple sundal; protein and lutein support vision.,9,3,
Pineapple Kofta,49,5,18,"Salty, Astringent","Pineapple, Chickpea Flour, Ginger, Green Chili, Garam Masala, Salt, Coconut Oil",Total in 20 Min,"Mix chopped pineapple with chickpea flour, ginger, green chili, garam masala, and salt, shape koftas, and shallow-fry in coconut oil.",Pineapple kofta; antioxidants maintain retinal function.,6,2,
Pineapple Kadhi,128,5,20,"Salty, Astringent","Yogurt, Gram Flour, Pineapple, Turmeric, Curry Leaves, Green Chili, Salt, Coconut Oil",Total in 25 Min,"Whisk yogurt with gram flour, turmeric, curry leaves, green chili, and salt, simmer gently, add pineapple, and finish with coconut oil.",Pineapple kadhi; probiotics and antioxidants support macula.,5,2,
Pineapple Pongal,250,6,18,"Salty, Astringent","Rice, Moong Dal, Pineapple, Black Pepper, Cumin, Ginger, Salt, Ghee",Total in 20 Min,"Cook rice and moong dal soft with ghee, black pepper, cumin, ginger, and salt, fold in pineapple, and rest 2 minutes.",Pineapple pongal; lutein helps maintain healthy vision.,4,2,
Pineapple Uttapam,70,8,30,Sweet,"Rice Flour, Urad Dal, Pineapple, Green Chili, Onion, Salt, Coconut Oil",Total in 25 Min,"Spread thick fermented rice?urad batter on a coconut-oiled tawa, top with pineapple, green chili, and onion, and cook uttapam.",Pineapple uttapam; beta-carotene prevents night blindness.,8,3,
Pineapple Handvo,85,6,22,"Salty, Astringent","Rice Flour, Lentils, Pineapple, Green Chili, Ginger, Salt, Yogurt, Ghee",Total in 25 Min,"Whisk rice flour, crushed lentils, yogurt, pineapple, green chili, ginger, and salt, pour into a ghee-greased pan, and bake until set.",Pineapple handvo; antioxidants protect retinal cells.,6,2,
Pineapple Dhokla,109,7,28,"Salty, Astringent","Rice Flour, Gram Flour, Pineapple, Baking Soda, Salt, Green Chili, Coconut Oil",Total in 30 Min,"Steam a rice flour?gram flour batter with pineapple, baking soda, salt, and minced green chili, then brush with coconut oil.",Pineapple dhokla; retains lutein and beta-carotene.,7,3,
Pineapple Usili,150,6,24,"Sweet, Astringent","Lentils, Pineapple, Green Chili, Curry Leaves, Salt, Coconut Oil",Total in 20 Min,"Scramble steamed lentil crumbs in coconut oil with curry leaves and green chili, add salt and pineapple, and toss dry.",Pineapple usili; protein and antioxidants support eye health.,5,2,
Pineapple Adai,200,5,20,"Astringent, Bitter","Rice, Urad Dal, Pineapple, Green Chili, Ginger, Salt, Ghee",Total in 15 Min,"Grind soaked rice and urad coarse with ginger and green chili, add salt and pineapple, and cook adai on a ghee-brushed tawa.",Pineapple adai; lutein-rich for vision support.,5,2,
Pineapple Puttu,50,6,18,"Astringent, Bitter","Rice Flour, Pineapple, Grated Coconut, Salt, Water, Ghee",Total in 20 Min,"Layer damp rice flour and grated coconut with pineapple and a pinch of salt, then steam and finish with ghee.",Pineapple puttu; beta-carotene supports night vision.,4,2,
Pineapple Pesarattu,100,6,22,"Salty, Astringent","Moong Dal, Rice, Pineapple, Green Chili, Ginger, Salt, Ghee",Total in 20 Min,"Blend soaked moong with rice to a batter, add pineapple, green chili, salt, and cook pesarattu in ghee.",Pineapple pesarattu; antioxidants reduce retinal damage.,6,2,
Pineapple Pulao with Greens,150,7,24,"Salty, Astringent","Rice, Pineapple, Spinach, Green Peas, Cumin, Cinnamon, Cloves, Salt, Ghee",Total in 25 Min,"Cook rice with spinach, peas, cumin, cinnamon, cloves, salt, and ghee, then fold in warm pineapple.",Pineapple pulao with greens; lutein and vitamin A support macula.,7,2,
Pineapple Steamed,40,7,26,Sweet,"Pineapple, Water, Salt, Coconut Oil",Total in 30 Min,"Steam pineapple with a pinch of salt, drizzle a few drops of coconut oil, and serve warm.",Pineapple steamed; preserves maximum antioxidants for eyes.,7,2,
Pineapple Pan-fried,120,4,18,"Astringent, Salty","Pineapple, Bell Pepper, Carrot, Green Chili, Salt, Olive Oil",Total in 20 Min,"Stir-fry pineapple with bell pepper, carrot, green chili, salt, and olive oil on high until glossy.",Pineapple pan-fried; retains lutein and beta-carotene.,8,3,
Pineapple Stir Fry,180,8,40,"Astringent, Salty","Pineapple, Potato,Tomato,Onion,Ginger, Soy Sauce, Ginger, Garlic, Salt, Sesame Oil",Total in 25 Min,"Stir-fry pineapple, potato, tomato, onion, and ginger with soy sauce and sesame oil, add garlic and salt, and toss hot.",Pineapple stir fry; maintains carotenoids for vision health.,10,3,
Pineapple Smoked,100,7,38,"Bitter, Astringent","Pineapple, Wood Chips/Smoke, Salt, Ghee",Total in 25 Min,"Smoke pineapple over hot wood chips until fragrant, brush with ghee, season with salt, and serve.",Pineapple smoked; antioxidants help protect retinal cells.,9,3,
Pineapple Marinated,150,9,36,"Astringent, Bitter","Pineapple, Yogurt, Lemon Juice, Ginger, Garlic, Green Chili, Salt, Olive Oil",Total in 20 Min,"Marinate pineapple with yogurt, lemon juice, ginger, garlic, green chili, salt, and olive oil, then sear quickly.",Pineapple marinated; antioxidants reduce oxidative stress in eyes.,8,3,
Pineapple Stuffed,200,7,32,"Sweet, Astringent","Pineapple, Bell Pepper, Onion, Cheese, Salt, Coconut Oil",Total in 30 Min,"Stuff bell pepper halves with diced pineapple, onion, and grated cheese, season with salt, brush with coconut oil, and bake.",Pineapple stuffed; carotenoids and protein support vision.,6,2,
Pineapple Rolls,150,6,30,Sweet,"Pineapple, Rice Flour, Grated Coconut, Salt, Ghee",Total in 25 Min,"Cook thin rice-flour crêpes, fill with sweetened grated coconut and pineapple with a touch of ghee, then roll.",Pineapple rolls; convenient antioxidant source for eye protection.,5,2,
Pineapple Balls,120,6,28,Sweet,"Pineapple, Gram Flour, Green Chili, Salt, Coconut Oil",Total in 15 Min,"Bind chopped pineapple with gram flour, minced green chili, salt, and a little coconut oil, scoop and shallow-fry balls.",Pineapple balls; concentrated source of lutein and carotenoids.,4,4,
Pineapple Crisps,49,8,38,"Astringent, Bitter","Pineapple, Salt, Sweet Cornstarch, Olive Oil",Total in 15 Min,"Dust very thin pineapple slices with salt and sweet cornstarch, mist with olive oil, and bake low until crisp.",Pineapple crisps; antioxidants support macula and retinal health.,9,2,
