Food Name,Calories,Protein_g,Carbohydrates_g,taste,prep_time,Instructions,Description,Fat,Ingredients,No_serving
Berries And Buckwheat Porridge (herb-Crunch),60,6,5,"Spicy,Astringent",Total in 20 M,Cook buckwheat and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-crunch buckwheat porridge supports fiber intake and stabilizes blood sugar.,5,"Buckwheat,Berries,Olive Oil,Basil Leaves,Black Pepper",1
Berries And Buckwheat Porridge (Lemon-Dressed),50,6,4,"Sour,Spicy",Total in 20 M,Cook buckwheat and berries. Squeeze Lemon juice. Mix with olive oil. Add black pepper. Serve warm.,Lemon-dressed buckwheat porridge is diabetes-friendly and enhances flavor.,5,"Buckwheat,Berries,Olive Oil,Lemon,Black Pepper",1
Berries And Buckwheat Porridge (seed-Mix),70,6,3,"Spicy,Astringent",Total in 20 M,Cook buckwheat and berries. Roast almonds and sunflower seeds. Mix with olive oil. Add black pepper. Serve warm.,Seed-mix buckwheat porridge provides healthy fats and fiber for blood sugar control.,5,"Buckwheat,Berries,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",1
Berries And Buckwheat Porridge (sprouted),80,1,2,"Spicy,Astringent",Total in 20 M,Cook sprouted bulgur and berries. Add curry leaves. Roast lightly in olive oil. Add black pepper. Serve warm.,Bulgur-curry-leaf porridge supports digestion and glycemic control.,5,"Bulgur,Berries,Olive Oil,Curry Leaves,Black Pepper",1
Berries And Bulgur Porridge (coriander-Mint),120,1,1,"Spicy,Astringent",Total in 20 M,Cook bulgur and berries. Add curry leaves. Roast lightly in olive oil. Squeeze Lemon. Serve warm.,Lemon-dressed bulgur porridge enhances flavor and supports blood sugar stability.,5,"Bulgur,Berries,Olive Oil,Curry Leaves,Lemon,Black Pepper",1
Berries And Bulgur Porridge (curry-Leaf),110,1,6,"Spicy,Astringent",20 M,Cook bulgur and berries. Add curry leaves. Roast lightly in olive oil. Add black pepper. Serve warm.,Curry-leaf bulgur porridge improves digestion and stabilizes blood sugar.,5,"Bulgur,Berries,Olive Oil,Curry Leaves,Black Pepper",1
Berries And Bulgur Porridge (Lemon-Dressed),130,1,5.5,"Sour,Spicy",20 M,Cook bulgur and berries. Squeeze Lemon. Mix with olive oil. Add black pepper. Serve warm.,Lemon-dressed bulgur porridge enhances flavor and supports blood sugar control.,5,"Bulgur,Berries,Olive Oil,Lemon,Black Pepper",1
Berries And Bulgur Porridge (mustard-Toss),60,1,5,"Spicy,Astringent",20 M,Cook bulgur and berries. Toss with mustard seeds in olive oil. Add black pepper. Serve warm.,Mustard-toss bulgur porridge supports circulation and glycemic control.,5,"Bulgur,Berries,Olive Oil,Mustard Seeds,Black Pepper",1
Berries And Bulgur Porridge (no-Salt-Added),80,1,5,"Spicy,Astringent",20 M,Cook bulgur and berries. Mix with olive oil. Add black pepper. Serve warm.,No-salt-added bulgur porridge is diabetes-friendly and supports digestion.,5,"Bulgur,Berries,Olive Oil,Black Pepper",1
Berries And Bulgur Porridge (sprouted),50,1,7,"Spicy,Astringent",20 M,Cook sprouted bulgur and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Sprouted bulgur porridge is rich in fiber and supports nutrient absorption.,5,"Bulgur,Berries,Olive Oil,Sprouted Bulgur,Black Pepper",1
Berries And Farro Porridge (fenugreek-Seasoned),70,1,6,"Spicy,Astringent",20 M,Cook farro and berries. Add fenugreek seeds. Roast lightly in olive oil. Add black pepper. Serve warm.,Fenugreek-seasoned farro porridge aids blood sugar management.,5,"Farro,Berries,Olive Oil,Fenugreek Seeds,Black Pepper",1
Berries And Farro Porridge (ginger-Garlic),90,1.5,8,"Spicy,Astringent",20 M,Cook farro and berries. Mix with ginger and garlic. Roast lightly in olive oil. Add black pepper. Serve warm.,Ginger-garlic farro porridge supports digestion and glycemic control.,5,"Farro,Berries,Olive Oil,Ginger,Garlic,Black Pepper",1
Berries And Farro Porridge (herb-Crunch),60,3,20,"Spicy,Astringent",20 M,Cook farro and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-crunch farro porridge stabilizes blood sugar and adds fiber.,5,"Farro,Berries,Olive Oil,Basil Leaves,Black Pepper",1
Berries And Farro Porridge (no-Salt-Added),70,3,18,"Spicy,Astringent",20 M,Cook farro and berries. Mix with olive oil. Add black pepper. Serve warm.,No-salt-added farro porridge is diabetes-friendly and supports digestion.,5,"Farro,Berries,Olive Oil,Black Pepper",1
Berries And Farro Porridge (seed-Mix),80,5,22,"Spicy,Astringent",20 M,Cook farro and berries. Roast almonds and sunflower seeds. Mix with olive oil. Add black pepper. Serve warm.,Seed-mix farro porridge provides healthy fats and fiber for blood sugar control.,5,"Farro,Berries,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",1
Berries And Khorasan Wheat Porridge (cumin-Roasted),100,4,17,"Spicy,Astringent",20 M,Cook khorasan wheat and berries. Roast cumin seeds. Mix with olive oil. Add black pepper. Serve warm.,Cumin-roasted khorasan wheat porridge supports digestion and glycemic control.,5,"Khorasan Wheat,Berries,Olive Oil,Cumin Seeds,Black Pepper",1
Berries And Khorasan Wheat Porridge (herb-Crunch),150,6,18,"Spicy,Astringent",20 M,Cook khorasan wheat and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-crunch khorasan wheat porridge improves fiber intake and blood sugar stability.,5,"Khorasan Wheat,Berries,Olive Oil,Basil Leaves,Black Pepper",1
Berries And Khorasan Wheat Porridge (pulao-Style),120,6,16,"Spicy,Astringent",20 M,Cook khorasan wheat and berries. Prepare pulao-style mixture. Roast lightly in olive oil. Add black pepper. Serve warm.,Pulao-style khorasan wheat porridge is fiber-rich and diabetes-friendly.,5,"Khorasan Wheat,Berries,Olive Oil,Black Pepper",1
Berries And Khorasan Wheat Porridge (seed-Mix),130,4,15,"Spicy,Astringent",20 M,Cook khorasan wheat and berries. Roast almonds and sunflower seeds. Mix with olive oil. Add black pepper. Serve warm.,Seed-mix khorasan wheat porridge adds healthy fats and fiber for glycemic control.,5,"Khorasan Wheat,Berries,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",1
Berries And Millet Porridge (coriander-Mint),150,5,25,"Spicy,Astringent",20 M,Cook millet and berries. Add coriander and mint. Roast lightly in olive oil. Add black pepper. Serve warm.,Coriander-mint millet porridge aids digestion and blood sugar management.,5,"Millet,Berries,Olive Oil,Coriander,Mint,Black Pepper",1
Berries And Millet Porridge (cumin-Roasted),140,5,24,"Spicy,Astringent",20 M,Cook millet and berries. Roast cumin seeds. Mix with olive oil. Add black pepper. Serve warm.,Cumin-roasted millet porridge supports digestion and glycemic control.,5,"Millet,Berries,Olive Oil,Cumin Seeds,Black Pepper",1
Berries And Millet Porridge (herb-Crunch),130,4,30,"Spicy,Astringent",20 M,Cook millet and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-crunch millet porridge stabilizes blood sugar and adds fiber.,5,"Millet,Berries,Olive Oil,Basil Leaves,Black Pepper",1
Berries And Millet Porridge (herbed),150,3,28,"Spicy,Astringent",20 M,Cook millet and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-seasoned millet porridge improves glycemic control and flavor.,5,"Millet,Berries,Olive Oil,Basil Leaves,Black Pepper",1
Berries And Millet Porridge (Lemon-Dressed),140,4,25,"Sour,Spicy",20 M,Cook millet and berries. Squeeze Lemon. Mix with olive oil. Add black pepper. Serve warm.,Lemon-dressed millet porridge enhances flavor and supports digestion.,5,"Millet,Berries,Olive Oil,Lemon,Black Pepper",1
Berries And Millet Porridge (mustard-Toss),120,3.5,35,"Spicy,Astringent",20 M,Cook millet and berries. Roast mustard seeds. Mix with olive oil. Add black pepper. Serve warm.,Mustard-toss millet porridge aids circulation and glycemic control.,5,"Millet,Berries,Olive Oil,Mustard Seeds,Black Pepper",1–2
Berries And Millet Porridge (sprouted),130,4,22,"Spicy,Astringent",20 M,Cook sprouted millet and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Sprouted millet porridge improves nutrient absorption and blood sugar stability.,5,"Millet,Berries,Olive Oil,Sprouted Millet,Black Pepper",1–2
Berries And Millet Porridge (turmeric-Ginger),150,3,8,"Spicy,Astringent",20 M,Cook millet and berries. Add turmeric and ginger. Roast lightly in olive oil. Add black pepper. Serve warm.,Turmeric-ginger millet porridge is anti-inflammatory and supports glycemic control.,5,"Millet,Berries,Olive Oil,Turmeric,Ginger,Black Pepper",                 2–3
Berries And Quinoa Porridge (curry-Leaf),140,3,15,"Spicy,Astringent",20 M,Cook quinoa and berries. Add curry leaves. Roast lightly in olive oil. Add black pepper. Serve warm.,Curry-leaf quinoa porridge aids digestion and glycemic control.,5,"Quinoa,Berries,Olive Oil,Curry Leaves,Black Pepper",1
Berries And Quinoa Porridge (fenugreek-Seasoned),150,3.5,40,"Spicy,Astringent",20 M,Cook quinoa and berries. Add fenugreek seeds. Roast lightly in olive oil. Add black pepper. Serve warm.,Fenugreek-seasoned quinoa porridge supports blood sugar management.,5,"Quinoa,Berries,Olive Oil,Fenugreek Seeds,Black Pepper",2
Berries And Quinoa Porridge (herbed),120,3,25,"Spicy,Astringent",20 M,Cook quinoa and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-seasoned quinoa porridge improves glycemic control and fiber intake.,5,"Quinoa,Berries,Olive Oil,Basil Leaves,Black Pepper",3–4
Berries And Quinoa Porridge (pulao-Style),140,3,32,"Spicy,Astringent",20 M,Cook quinoa and berries. Prepare pulao-style mix. Roast lightly in olive oil. Add black pepper. Serve warm.,Pulao-style quinoa porridge supports blood sugar stability.,5,"Quinoa,Berries,Olive Oil,Black Pepper",2
Berries And Quinoa Porridge (seed-Mix),120,4,35,"Spicy,Astringent",20 M,Cook quinoa and berries. Roast almonds and sunflower seeds. Mix with olive oil. Add black pepper. Serve warm.,Seed-mix quinoa porridge adds fiber and healthy fats for glycemic control.,5,"Quinoa,Berries,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",4–6
Berries And Quinoa Porridge (sprouted),130,4,30,"Spicy,Astringent",20 M,Cook Quinoa and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Quinoa porridge improves nutrient absorption and blood sugar management.,5,"Quinoa,Berries,Olive Oil,Quinoa,Black Pepper",1
Berries And Sorghum Porridge (fenugreek-Seasoned),150,4,28,"Spicy,Astringent",20 M,Cook sorghum and berries. Add fenugreek seeds. Roast lightly in olive oil. Add black pepper. Serve warm.,Fenugreek-seasoned sorghum porridge supports digestion and glycemic control.,5,"Sorghum,Berries,Olive Oil,Fenugreek Seeds,Black Pepper",2–3
Berries And Sorghum Porridge (herb-Crunch),120,3.5,25,"Spicy,Astringent",20 M,Cook sorghum and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-crunch sorghum porridge stabilizes blood sugar and adds fiber.,5,"Sorghum,Berries,Olive Oil,Basil Leaves,Black Pepper",1–2
Berries And Sorghum Porridge (mustard-Toss),140,3.5,20,"Spicy,Astringent",20 M,Cook sorghum and berries. Toss mustard seeds in olive oil. Mix together. Add black pepper. Serve warm.,Mustard-toss sorghum porridge supports circulation and glycemic control.,5,"Sorghum,Berries,Olive Oil,Mustard Seeds,Black Pepper",1
Berries And Sorghum Porridge (seed-Mix),120,4,18,"Spicy,Astringent",20 M,Cook sorghum and berries. Roast almonds and sunflower seeds. Mix with olive oil. Add black pepper. Serve warm.,Seed-mix sorghum porridge adds fiber and healthy fats for glycemic control.,5,"Sorghum,Berries,Olive Oil,Almonds,Sunflower Seeds,Black Pepper",2
Berries And Sorghum Porridge (sprouted),130,3,22,"Spicy,Astringent",20 M,Cook sprouted sorghum and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Sprouted sorghum porridge improves nutrient absorption and supports blood sugar.,5,"Sorghum,Berries,Olive Oil,Sprouted Sorghum,Black Pepper",2
Berries And Sorghum Porridge (turmeric-Ginger),150,3,16,"Spicy,Astringent",20 M,Cook sorghum and berries. Add turmeric and ginger. Roast lightly in olive oil. Add black pepper. Serve warm.,Turmeric-ginger sorghum porridge is anti-inflammatory and supports glycemic control.,5,"Sorghum,Berries,Olive Oil,Turmeric,Ginger,Black Pepper",2–3
Berries And Spelt Porridge (cumin-Roasted),140,3.5,12,"Spicy,Astringent",20 M,Cook spelt and berries. Roast cumin seeds. Mix with olive oil. Add black pepper. Serve warm.,Cumin-roasted spelt porridge aids digestion and blood sugar control.,5,"Spelt,Berries,Olive Oil,Cumin Seeds,Black Pepper",2
Berries And Spelt Porridge (curry-Leaf),120,3,14,"Spicy,Astringent",20 M,Cook spelt and berries. Add curry leaves. Roast lightly in olive oil. Add black pepper. Serve warm.,Curry-leaf spelt porridge improves digestion and fiber intake.,5,"Spelt,Berries,Olive Oil,Curry Leaves,Black Pepper",2
Berries And Spelt Porridge (Lemon-Dressed),130,3,15,"Sour,Spicy",20 M,Cook spelt and berries. Squeeze Lemon. Mix with olive oil. Add black pepper. Serve warm.,Lemon-dressed spelt porridge enhances flavor and supports digestion.,5,"Spelt,Berries,Olive Oil,Lemon,Black Pepper",3–4
Berries And Spelt Porridge (sprouted),140,3.5,18,"Spicy,Astringent",20 M,Cook sprouted spelt and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Sprouted spelt porridge improves nutrient absorption and stabilizes blood sugar.,5,"Spelt,Berries,Olive Oil,Sprouted Spelt,Black Pepper",2–3
Berries And Spelt Porridge (turmeric-Ginger),150,3,20,"Spicy,Astringent",20 M,Cook spelt and berries. Add turmeric and ginger. Roast lightly in olive oil. Add black pepper. Serve warm.,Turmeric-ginger spelt porridge is anti-inflammatory and supports glycemic control.,5,"Spelt,Berries,Olive Oil,Turmeric,Ginger,Black Pepper",1
Berries And Teff Porridge (cumin-Roasted),160,3,25,"Spicy,Astringent",20 M,Cook teff and berries. Roast cumin seeds. Mix with olive oil. Add black pepper. Serve warm.,Cumin-roasted teff porridge aids digestion and blood sugar control.,5,"Teff,Berries,Olive Oil,Cumin Seeds,Black Pepper",3
Berries And Teff Porridge (curry-Leaf),120,3.5,28,"Spicy,Astringent",20 M,Cook teff and berries. Add curry leaves. Roast lightly in olive oil. Add black pepper. Serve warm.,Curry-leaf teff porridge improves digestion and fiber intake.,5,"Teff,Berries,Olive Oil,Curry Leaves,Black Pepper",3
Berries And Teff Porridge (fermented),140,3,30,"Spicy,Astringent",20 M,Cook teff and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Teff porridge supports gut health and glycemic control.,5,"Teff,Berries,Olive Oil,Teff,Black Pepper",3–4
Berries And Teff Porridge (ginger-Garlic),120,3,25,"Spicy,Astringent",20 M,Cook teff and berries. Add ginger and garlic. Roast lightly in olive oil. Add black pepper. Serve warm.,Ginger-garlic teff porridge aids digestion and stabilizes blood sugar.,5,"Teff,Berries,Olive Oil,Ginger,Garlic,Black Pepper",2–3
Berries And Teff Porridge (herb-Crunch),130,3.5,22,"Spicy,Astringent",20 M,Cook teff and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-crunch teff porridge adds fiber and supports blood sugar control.,5,"Teff,Berries,Olive Oil,Basil Leaves,Black Pepper",2–3
Berries And Teff Porridge (herbed),150,3,20,"Spicy,Astringent",20 M,Cook teff and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-seasoned teff porridge improves glycemic control and flavor.,5,"Teff,Berries,Olive Oil,Basil Leaves,Black Pepper",3–4
Berries And Teff Porridge (no-Salt-Added),140,3,18,"Spicy,Astringent",20 M,Cook teff and berries. Mix with olive oil. Add black pepper. Serve warm.,No-salt-added teff porridge supports digestion and blood sugar control.,5,"Teff,Berries,Olive Oil,Black Pepper",3
Berries And Teff Porridge (peppery),160,3.5,16,"Spicy,Astringent",20 M,Cook teff and berries. Add black pepper. Roast lightly in olive oil. Serve warm.,Peppery teff porridge enhances metabolism and glycemic stability.,5,"Teff,Berries,Olive Oil,Black Pepper",2–3
Berries And Teff Porridge (pulao-Style),140,3,15,"Spicy,Astringent",20 M,Cook teff and berries. Prepare pulao-style mixture. Roast lightly in olive oil. Add black pepper. Serve warm.,Pulao-style teff porridge adds flavor and fiber for blood sugar control.,5,"Teff,Berries,Olive Oil,Black Pepper",3
Berries And Teff Porridge (sprouted),130,3,20,"Spicy,Astringent",20 M,Cook sprouted teff and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Sprouted teff porridge improves nutrient absorption and glycemic control.,5,"Teff,Berries,Olive Oil,Sprouted Teff,Black Pepper",2–3
Berries And Wheat Porridge (fermented),120,3.5,22,"Spicy,Astringent",20 M,Cook fermented wheat and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Wheat porridge supports gut health and blood sugar stability.,5,"Wheat,Berries,Olive Oil,Wheat,Black Pepper",3
Berries And Wheat Porridge (ginger-Garlic),100,3,25,"Spicy,Astringent",20 M,Cook wheat and berries. Add ginger and garlic. Roast lightly in olive oil. Add black pepper. Serve warm.,Ginger-garlic wheat porridge aids digestion and glycemic control.,5,"Wheat,Berries,Olive Oil,Ginger,Garlic,Black Pepper",3
Berries And Wheat Porridge (herb-Crunch),120,3,18,"Spicy,Astringent",20 M,Cook wheat and berries. Roast basil leaves. Mix with olive oil. Add black pepper. Serve warm.,Herb-crunch wheat porridge adds fiber and stabilizes blood sugar.,5,"Wheat,Berries,Olive Oil,Basil Leaves,Black Pepper",2
Berries And Wheat Porridge (Lemon-Dressed),140,3.5,20,"Sour,Spicy",20 M,Cook wheat and berries. Squeeze Lemon. Mix with olive oil. Add black pepper. Serve warm.,Lemon-dressed wheat porridge improves flavor and supports digestion.,5,"Wheat,Berries,Olive Oil,Lemon,Black Pepper",2
Berries And Wheat Porridge (sprouted),130,3,22,"Spicy,Astringent",20 M,Cook sprouted wheat and berries. Roast lightly in olive oil. Add black pepper. Serve warm.,Sprouted wheat porridge improves nutrient absorption and glycemic control.,5,"Wheat,Berries,Olive Oil,Sprouted Wheat,Black Pepper",2
Berries And Wheat Porridge (turmeric-Ginger),150,3,25,"Spicy,Astringent",20 M,Cook wheat and berries. Add turmeric and ginger. Roast lightly in olive oil. Add black pepper. Serve warm.,Turmeric-ginger wheat porridge is anti-inflammatory and supports glycemic control.,5,"Wheat,Berries,Olive Oil,Turmeric,Ginger,Black Pepper",2
Berries And White Rice Porridge (curry-Leaf),120,3.5,30,"Spicy,Astringent",20 M,Cook White Rice and berries. Add curry leaves. Roast lightly in olive oil. Add black pepper. Serve warm.,Curry-leaf White Rice porridge improves digestion and fiber intake.,5,"White Rice,Berries,Olive Oil,Curry Leaves,Black Pepper",2–3
Berries And White Rice Porridge (ginger-Garlic),130,3,28,"Spicy,Astringent",20 M,Cook White Rice and berries. Add ginger and garlic. Roast lightly in olive oil. Add black pepper. Serve warm.,Ginger-garlic White Rice porridge aids digestion and glycemic control.,5,"White Rice,Berries,Olive Oil,Ginger,Garlic,Black Pepper",2
Berries And White Rice Porridge (no-Salt-Added),140,3,25,"Spicy,Astringent",20 M,Cook White Rice and berries. Mix with olive oil. Add black pepper. Serve warm.,No-salt-added White Rice porridge supports blood sugar and digestion.,5,"White Rice,Berries,Olive Oil,Black Pepper",3–4
Broccoli And Chickpea Salad (Lemon-Dressed),150,3.5,30,"Sour,Spicy",15 M,Chop broccoli and chickpeas. Add Lemon dressing. Toss well. Serve cold.,Lemon-dressed broccoli and chickpea salad adds fiber and vitamin C.,5,"Broccoli,Chickpeas,Lemon,Olive Oil,Black Pepper",3–4
Broccoli And Chickpea Salad (seed-Mix),160,3,32,"Spicy,Astringent",15 M,Cook broccoli and seeds. Roast lightly in olive oil. Toss together. Serve cold.,"Seed-mix broccoli salad adds fiber, protein, and healthy fats.",5,"Broccoli,Olive Oil,Sunflower Seeds,Pumpkin Seeds,Black Pepper",2
Broccoli And Lentil Salad (coriander-Mint),120,3,20,"Spicy,Astringent",15 M,Cook broccoli and lentils. Add chopped coriander and mint. Mix with olive oil. Serve cold.,Coriander-mint broccoli and lentil salad supports digestion and antioxidants.,5,"Broccoli,Lentils,Olive Oil,Coriander,Mint,Black Pepper",2–3
Broccoli And Lentil Salad (herb-Crunch),140,3.5,22,"Spicy,Astringent",15 M,Cook broccoli and lentils. Roast basil leaves. Mix with olive oil. Serve cold.,Herb-crunch broccoli and lentil salad boosts fiber and flavor.,5,"Broccoli,Lentils,Olive Oil,Basil Leaves,Black Pepper",2
Broccoli And Lentil Salad (seed-Mix),120,3,25,"Spicy,Astringent",15 M,Cook broccoli and lentils. Roast seeds. Mix with olive oil. Serve cold.,Seed-mix lentil salad improves nutrient content and glycemic control.,5,"Broccoli,Lentils,Olive Oil,Sunflower Seeds,Pumpkin Seeds,Black Pepper",2
Broccoli And Lentil Salad (sprouted),130,3,28,"Spicy,Astringent",15 M,Cook sprouted lentils and broccoli. Mix with olive oil. Serve cold.,Sprouted broccoli and lentil salad enhances nutrient absorption.,5,"Broccoli,Sprouted Lentils,Olive Oil,Black Pepper",2–3
Broccoli And Soybean Salad (cumin-Roasted),150,3.5,30,"Spicy,Astringent",20 M,"Cook broccoli and soybeans. Roast cumin seeds in olive oil. Mix broccoli, soybeans, and roasted cumin seeds with olive oil and black pepper. Serve cold.",Cumin-roasted soybean salad aids digestion and glycemic control.,5,"Broccoli,Soybeans,Olive Oil,Cumin Seeds,Black Pepper",2
Broccoli And Soybean Salad (curry-Leaf),140,3,25,"Spicy,Astringent",20 M,Cook broccoli and soybeans. Add curry leaves and mix with olive oil and black pepper. Serve cold.,Curry-leaf soybean salad supports digestion and fiber intake.,5,"Broccoli,Soybeans,Olive Oil,Curry Leaves,Black Pepper",2–3
Broccoli And Soybean Salad (Lemon-Dressed),160,3,22,"Sour,Spicy",20 M,"Cook broccoli and soybeans. Add Lemon juice, mix with olive oil and black pepper. Serve cold.",Lemon-dressed soybean salad enhances flavor and supports digestion.,5,"Broccoli,Soybeans,Olive Oil,Lemon,Black Pepper",2–3
Broccoli And Soybean Salad (mustard-Toss),140,3.5,20,"Spicy,Astringent",20 M,"Cook broccoli and soybeans. Roast mustard seeds lightly in olive oil. Mix with broccoli, soybeans, and black pepper. Serve cold.",Mustard-toss soybean salad adds flavor and antioxidant benefits.,5,"Broccoli,Soybeans,Olive Oil,Mustard Seeds,Black Pepper",2
Broccoli And Soybean Salad (pulao-Style),130,3,18,"Spicy,Astringent",20 M,Cook broccoli and soybeans. Prepare pulao-style mix and roast lightly in olive oil. Mix with black pepper. Serve cold.,Pulao-style soybean salad adds fiber and protein for glycemic control.,5,"Broccoli,Soybeans,Olive Oil,Black Pepper",2
Broccoli And Soybean Salad (turmeric-Ginger),120,3,16,"Spicy,Astringent",20 M,"Cook broccoli and soybeans. Add turmeric and ginger, roast lightly in olive oil. Mix with black pepper. Serve cold.",Turmeric-ginger soybean salad is anti-inflammatory and blood sugar-friendly.,5,"Broccoli,Soybeans,Olive Oil,Turmeric,Ginger,Black Pepper",2–3
Broccoli And Urad Salad (cumin-Roasted),100,3.5,14,"Spicy,Astringent",15 M,"Cook broccoli and urad. Roast cumin seeds in olive oil. Mix broccoli, urad, and roasted cumin seeds with black pepper. Serve cold.",Cumin-roasted urad salad supports digestion and glycemic stability.,5,"Broccoli,Urad,Olive Oil,Cumin Seeds,Black Pepper",2
Broccoli And Urad Salad (ginger-Garlic),120,3,12,"Spicy,Astringent",15 M,Cook broccoli and urad. Add ginger and garlic. Mix with olive oil and black pepper. Serve cold.,Ginger-garlic urad salad aids digestion and metabolism.,5,"Broccoli,Urad,Olive Oil,Ginger,Garlic,Black Pepper",2
Broccoli And Urad Salad (herb-Crunch),140,3,15,"Spicy,Astringent",15 M,"Cook broccoli and urad. Roast basil leaves lightly in olive oil. Mix broccoli, urad, and roasted basil with black pepper. Serve cold.",Herb-crunch urad salad enhances fiber and flavor.,5,"Broccoli,Urad,Olive Oil,Basil Leaves,Black Pepper",2
Broccoli And Urad Salad (sprouted),130,3.5,18,"Spicy,Astringent",15 M,Cook Sprouted Urad Dal and broccoli. Mix with olive oil and black pepper. Serve cold.,Sprouted Urad Dal salad improves nutrient absorption and glycemic control.,5,"Broccoli,Sprouted Urad Dal,Olive Oil,Black Pepper",1
Buckwheat And Banana Stem Bowl (curry-Leaf),150,3,20,"Spicy,Astringent",20 M,"Cook buckwheat and banana stem. Add curry leaves, roast lightly in olive oil. Mix together with black pepper. Serve warm.",Curry-leaf buckwheat bowl aids digestion and fiber intake.,5,"Buckwheat,Banana Stem,Olive Oil,Curry Leaves,Black Pepper",3–4
Buckwheat And Banana Stem Bowl (Lemon-Dressed),120,3,22,"Sour,Spicy",20 M,"Cook buckwheat and banana stem. Add Lemon juice, mix with olive oil and black pepper. Serve warm.",Lemon-dressed buckwheat bowl enhances flavor and digestion.,5,"Buckwheat,Banana Stem,Olive Oil,Lemon,Black Pepper",2
Buckwheat And Banana Stem Bowl (pulao-Style),130,3.5,25,"Spicy,Astringent",20 M,Cook buckwheat and banana stem. Prepare pulao-style mix and roast lightly in olive oil. Mix with black pepper. Serve warm.,Pulao-style buckwheat bowl adds fiber and nutrients for glycemic control.,5,"Buckwheat,Banana Stem,Olive Oil,Black Pepper",2–3
Buckwheat And Capsicum Bowl (coriander-Mint),140,3,28,"Spicy,Astringent",20 M,Cook buckwheat and capsicum. Add coriander and mint. Mix with olive oil and black pepper. Serve warm.,Coriander-mint capsicum bowl supports antioxidants and digestion.,5,"Buckwheat,Capsicum,Olive Oil,Coriander,Mint,Black Pepper",2
Buckwheat And Capsicum Bowl (fenugreek-Seasoned),150,3,30,Bitter,20 M,"Cook buckwheat and capsicum. Add fenugreek seeds, roast lightly in olive oil. Mix with black pepper. Serve warm.",Fenugreek-seasoned capsicum bowl aids digestion and blood sugar control.,5,"Buckwheat,Capsicum,Olive Oil,Fenugreek Seeds,Black Pepper",2
Buckwheat And Chayote Bowl (Lemon-Dressed),160,3.5,32,Sour,20 M,Cook buckwheat and chayote. Add Lemon juice and mix with olive oil and black pepper. Serve warm.,Lemon-dressed chayote bowl refreshes digestion and hydrates.,5,"Buckwheat,Chayote,Olive Oil,Lemon,Black Pepper",2
Buckwheat And Chayote Bowl (pulao-Style),140,3,35,Astringent,20 M,"Cook buckwheat and chayote. Prepare pulao-style mix, roast lightly in olive oil. Mix with black pepper. Serve warm.",Pulao-style chayote bowl adds fiber and stabilizes energy.,5,"Buckwheat,Chayote,Olive Oil,Black Pepper",1
Buckwheat And Chayote Bowl (seed-Mix),130,3,28,Astringent,20 M,"Cook buckwheat and chayote. Add sunflower and pumpkin seeds, roast lightly in olive oil. Mix with black pepper. Serve warm.",Seed-mix chayote bowl improves mineral and protein intake.,5,"Buckwheat,Chayote,Olive Oil,Sunflower Seeds,Pumpkin Seeds,Black Pepper",2
Buckwheat And Kale Bowl (fermented),120,3.5,25,Sour,20 M,"Ferment buckwheat and kale mix overnight. Steam lightly, add olive oil and black pepper. Serve warm.",Fermented kale bowl boosts gut health and probiotics.,5,"Buckwheat,Kale,Olive Oil,Black Pepper",2
Buckwheat And Kale Bowl (Lemon-Dressed),100,3,22,Sour,20 M,"Cook buckwheat and kale. Add Lemon juice, mix with olive oil and black pepper. Serve warm.",Lemon-dressed kale bowl supports iron absorption and digestion.,5,"Buckwheat,Kale,Olive Oil,Lemon,Black Pepper",2
Buckwheat And Pumpkin Bowl (herbed),120,3,20,Astringent,20 M,"Cook buckwheat and pumpkin. Add basil, oregano, rosemary, and thyme. Mix with olive oil and black pepper. Serve warm.",Herbed pumpkin bowl adds antioxidants and fiber.,5,"Buckwheat,Pumpkin,Olive Oil,Basil  Oregano  Rosemary  Thyme,Black Pepper",2
